Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
0610007C21Rik;Apr3,9.40535E-05,0.000106525,9.55313E-05,9.25795E-05,8.81596E-05,8.43878E-05,8.65797E-05,8.10625E-05,8.37514E-05
0610007L01Rik,9.72818E-05,8.91596E-05,8.20314E-05,8.21003E-05,8.12253E-05,8.04153E-05,8.09476E-05,8.21342E-05,8.00281E-05
0610007P08Rik;Rad26l,8.70068E-07,3.04628E-06,3.72501E-06,6.73708E-06,5.05147E-06,6.11098E-06,5.60619E-06,5.6975E-06,5.4826E-06
0610007P14Rik,0.000116447,9.1879E-05,9.31607E-05,8.62162E-05,8.40908E-05,8.16884E-05,7.61486E-05,7.10786E-05,7.45299E-05
0610007P22Rik,1.29588E-06,3.2029E-06,3.02384E-06,2.88292E-06,3.79044E-06,1.43521E-06,9.68143E-07,1.31618E-06,1.89774E-06
0610008F07Rik,2.47114E-07,2.19267E-06,4.08824E-06,8.7493E-06,6.43494E-06,5.89387E-06,6.35186E-06,5.55736E-06,7.12797E-06
0610009B22Rik,2.76183E-05,3.34202E-05,3.40406E-05,2.9381E-05,0.000028,2.90428E-05,2.81083E-05,2.63681E-05,2.14609E-05
0610009D07Rik,2.72139E-05,2.1418E-05,2.15071E-05,1.99994E-05,1.90362E-05,1.96546E-05,2.07637E-05,2.26328E-05,2.32437E-05
0610009O20Rik,2.73412E-05,2.26634E-05,1.42979E-05,1.5211E-05,1.43294E-05,1.5558E-05,1.35011E-05,1.3357E-05,1.21079E-05
0610010B08Rik;Gm14434;Gm14308,0,0,0,0,0,0,0,0,0
0610010F05Rik;mKIAA1841;Kiaa1841,2.68213E-06,2.49754E-06,3.41978E-06,3.49959E-06,3.11861E-06,4.40397E-06,2.72604E-06,2.28335E-06,2.3841E-06
0610010K14Rik;Rnasek,0.000346293,0.000294509,0.000293417,0.00026278,0.000256978,0.000240753,0.000239669,0.000254756,0.000248484
0610010O12Rik,2.1052E-05,2.42887E-05,2.83283E-05,2.92215E-05,3.10876E-05,3.45481E-05,3.80182E-05,3.45616E-05,3.68076E-05
0610011F06Rik,0.000396679,0.000363893,0.000352067,0.000322322,0.000296785,0.000276099,0.000280469,0.000268948,0.000265027
0610011L14Rik,1.67723E-05,1.7867E-05,1.8852E-05,2.16187E-05,2.18485E-05,2.87063E-05,2.45512E-05,2.04285E-05,1.92336E-05
0610012G03Rik,8.77745E-05,0.000126547,0.000129967,0.000123237,0.00012913,0.000137676,0.000134362,0.000133704,0.000125885
0610012H03Rik,7.34734E-06,7.09849E-06,8.1754E-06,7.42663E-06,6.77818E-06,5.08434E-06,4.88156E-06,3.7625E-06,3.90739E-06
0610030E20Rik,7.44169E-06,3.87723E-06,6.09384E-06,5.88722E-06,5.24068E-06,5.83862E-06,7.39319E-06,1.02249E-05,1.07785E-05
0610031J06Rik,0.000110846,8.09364E-05,7.96177E-05,7.7379E-05,7.96859E-05,8.51139E-05,8.23444E-05,8.936E-05,9.698E-05
0610037L13Rik,4.14924E-05,2.9045E-05,2.66645E-05,2.65221E-05,2.9888E-05,2.90461E-05,2.77723E-05,3.13194E-05,3.12031E-05
0610037P05Rik,3.736E-05,3.05182E-05,2.91736E-05,2.73816E-05,0.00003152,3.82417E-05,3.29478E-05,2.80429E-05,2.68782E-05
0610038B21Rik,0,0,0,0,0,0,0,0,0
0610038F07Rik;Sdhaf2,2.73724E-05,3.36062E-05,3.40071E-05,3.57577E-05,3.4989E-05,3.43968E-05,3.50538E-05,3.3855E-05,3.24602E-05
0610039K10Rik,0,0,0,0,0,0,0,0,0
0610040B10Rik,6.65733E-08,5.4578E-07,3.22903E-07,9.25424E-08,2.27558E-08,1.72325E-07,1.40392E-07,3.3896E-08,7.65545E-08
0610040J01Rik,1.17952E-05,1.70895E-05,1.97804E-05,2.14034E-05,2.27141E-05,2.30758E-05,2.2836E-05,1.88075E-05,2.32448E-05
0910001L09Rik,0.000172147,0.000165759,0.000162888,0.000141852,0.000127472,0.00012917,0.000116596,0.000125501,0.000131314
100039707;Gm2382;AK149842,2.68067E-05,3.2027E-05,3.48523E-05,4.50301E-05,4.3659E-05,4.46035E-05,4.0627E-05,3.95304E-05,3.83692E-05
100042579;Gm10902;Gm17002,0,0,0,0,0,0,0,0,0
100043387,7.83988E-09,1.40309E-07,1.3758E-07,3.24259E-08,1.4535E-09,1.99846E-13,2.73837E-28,0,0
1100001G20Rik,0.000703882,0.001751044,0.001956712,0.001926827,0.001860442,0.001779719,0.001714486,0.001704919,0.001721798
1110001A07Rik;Fam33a,0,0,0,0,0,0,0,0,0
1110001A16Rik,1.11401E-07,1.65184E-06,2.54027E-06,2.72218E-06,2.03322E-06,1.41489E-06,2.33711E-06,2.62577E-06,2.79298E-06
1110001J03Rik,0.000198557,0.000157773,0.000165114,0.00016029,0.000157733,0.000149008,0.000150512,0.00015574,0.000155491
1110002B05Rik;Mir1892,1.99225E-05,1.89552E-05,2.03741E-05,2.29259E-05,2.66118E-05,2.37554E-05,2.36843E-05,0.000020442,2.14453E-05
1110002L01Rik,0,0,0,0,0,0,0,0,0
1110002N22Rik,1.55259E-05,2.17864E-05,1.85588E-05,1.55472E-05,1.38445E-05,1.36798E-05,1.56861E-05,1.62355E-05,1.59329E-05
1110003E01Rik,4.34495E-05,4.70304E-05,4.65597E-05,5.13433E-05,5.25068E-05,5.11757E-05,5.12642E-05,5.23041E-05,5.10916E-05
1110004E09Rik,2.88199E-05,2.76051E-05,2.92158E-05,2.78443E-05,2.91735E-05,3.32815E-05,2.71841E-05,2.63838E-05,2.76688E-05
1110004F10Rik,4.25878E-05,4.04332E-05,4.40462E-05,5.33614E-05,5.49937E-05,5.13126E-05,4.87974E-05,4.56257E-05,4.62169E-05
1110005A03Rik,4.09348E-07,3.50634E-07,6.40283E-07,8.17892E-07,7.56756E-07,5.56197E-07,1.01364E-06,5.55225E-07,4.14711E-07
1110005A23Rik;Sarnp,3.03644E-06,6.13838E-06,5.78013E-06,5.47624E-06,4.29976E-06,5.99728E-06,4.51729E-06,3.27406E-06,3.2063E-06
1110006O24Rik,5.27788E-08,5.08625E-07,6.42119E-07,1.19696E-06,1.50689E-06,1.68342E-06,2.97249E-06,2.51432E-06,2.5082E-06
1110007A13Rik;Mcmbp,2.26901E-05,3.51932E-05,3.46786E-05,3.54694E-05,3.40121E-05,4.03454E-05,2.76957E-05,2.56621E-05,2.37844E-05
1110007C09Rik,1.31951E-05,1.41231E-05,1.53661E-05,1.59756E-05,1.76057E-05,2.18346E-05,2.18624E-05,2.07361E-05,1.71532E-05
1110008F13Rik,2.39172E-05,2.86376E-05,2.45286E-05,2.89202E-05,3.18559E-05,3.69709E-05,3.9486E-05,4.28697E-05,3.93942E-05
1110008J03Rik,7.76641E-07,4.05793E-06,4.97244E-06,4.6868E-06,3.93789E-06,1.5514E-06,1.32182E-06,1.13241E-06,7.96909E-07
1110008L16Rik,2.03867E-05,2.12412E-05,1.7684E-05,1.60288E-05,1.59108E-05,1.33851E-05,1.39931E-05,1.46806E-05,1.79345E-05
1110008P14Rik,5.99197E-05,6.82667E-05,5.60889E-05,5.01658E-05,4.96579E-05,5.89562E-05,5.89753E-05,5.38109E-05,5.04443E-05
1110012D08Rik,7.32562E-09,2.66798E-07,6.42397E-07,4.974E-07,2.79737E-07,4.46534E-08,6.64203E-10,2.25034E-13,7.61884E-14
1110012J17Rik,0,0,0,0,0,0,0,0,0
1110012L19Rik,8.36224E-06,1.30297E-05,1.33727E-05,1.4044E-05,1.23825E-05,8.62306E-06,8.99998E-06,8.74996E-06,1.40648E-05
1110013L07Rik;Fam189b,1.50048E-06,1.65747E-06,1.45168E-06,1.2611E-06,1.24389E-06,1.17158E-06,8.64207E-07,8.397E-07,8.76974E-07
1110017D15Rik;Smrp1,2.8162E-15,1.98771E-11,8.25148E-10,2.04091E-08,7.28142E-08,3.18034E-07,1.99988E-07,4.26129E-08,2.84361E-08
1110017F19Rik,7.41479E-09,2.73576E-07,3.7618E-07,6.27028E-07,6.66083E-07,6.34167E-08,3.50227E-07,3.92017E-07,2.12837E-07
1110018G07Rik;mKIAA0317,3.59446E-05,3.68654E-05,3.71717E-05,3.41163E-05,2.73994E-05,2.78001E-05,2.83753E-05,2.1361E-05,2.2893E-05
1110018H23Rik;Ptx4,0,0,0,0,0,0,0,0,0
1110018J18Rik,1.94604E-05,2.32235E-05,2.58848E-05,2.70332E-05,2.7068E-05,2.69449E-05,2.60115E-05,2.27781E-05,4.59224E-05
1110020A21Rik,1.81102E-06,4.46836E-06,4.78339E-06,4.81164E-06,4.39102E-06,5.34215E-06,8.42455E-06,8.91855E-06,8.23632E-06
1110020G09Rik,3.98678E-05,3.48151E-05,3.08214E-05,2.90968E-05,2.74338E-05,2.95295E-05,2.85985E-05,2.92554E-05,2.594E-05
1110021J02Rik,5.94278E-07,8.13003E-07,3.53779E-07,2.05576E-07,1.96943E-07,1.12588E-07,1.2951E-07,4.54426E-07,4.08264E-07
