,0,1,2,3,4,Shape Index
0,0.045,0.005,0.525,0.425,0.0,1
1,0.015,0.0,0.04,0.925,0.02,2
2,0.095,0.05,0.395,0.375,0.085,3
3,0.08,0.015,0.605,0.3,0.0,4
4,0.12,0.01,0.205,0.665,0.0,5
5,0.045,0.0,0.03,0.905,0.02,6
6,0.035,0.005,0.085,0.875,0.0,7
7,0.045,0.0,0.03,0.925,0.0,8
8,0.005,0.35,0.64,0.005,0.0,9
9,0.055,0.02,0.47,0.455,0.0,10
10,0.0,0.16,0.795,0.04,0.005,11
11,0.08,0.0,0.09,0.815,0.015,12
12,0.02,0.0,0.045,0.93,0.005,13
13,0.04,0.005,0.06,0.75,0.145,14
14,0.005,0.3,0.68,0.015,0.0,15
15,0.005,0.415,0.58,0.0,0.0,16
16,0.0,0.035,0.705,0.255,0.005,17
17,0.06,0.0,0.065,0.85,0.025,18
18,0.065,0.025,0.415,0.415,0.08,19
19,0.01,0.0,0.07,0.905,0.015,20
20,0.005,0.135,0.805,0.05,0.005,21
21,0.0,0.045,0.905,0.05,0.0,22
22,0.015,0.0,0.01,0.895,0.08,23
23,0.035,0.02,0.455,0.49,0.0,24
24,0.055,0.0,0.045,0.885,0.015,25
25,0.005,0.325,0.645,0.025,0.0,26
26,0.0,0.17,0.81,0.02,0.0,27
27,0.15,0.01,0.36,0.475,0.005,28
28,0.0,0.245,0.735,0.02,0.0,29
29,0.05,0.01,0.08,0.74,0.12,30
30,0.11,0.005,0.295,0.545,0.045,31
31,0.0,0.115,0.815,0.065,0.005,32
32,0.045,0.055,0.48,0.415,0.005,33
33,0.005,0.245,0.73,0.02,0.0,34
34,0.01,0.015,0.615,0.36,0.0,35
35,0.07,0.005,0.285,0.635,0.005,36
36,0.065,0.0,0.115,0.815,0.005,37
37,0.0,0.44,0.555,0.005,0.0,38
38,0.025,0.0,0.03,0.935,0.01,39
39,0.12,0.0,0.4,0.475,0.005,40
40,0.0,0.08,0.895,0.025,0.0,41
41,0.0,0.035,0.78,0.185,0.0,42
42,0.035,0.0,0.085,0.85,0.03,43
43,0.06,0.005,0.13,0.765,0.04,44
44,0.005,0.015,0.86,0.12,0.0,45
45,0.05,0.01,0.6,0.34,0.0,46
46,0.035,0.015,0.465,0.485,0.0,47
47,0.115,0.01,0.145,0.71,0.02,48
48,0.025,0.0,0.025,0.92,0.03,49
49,0.0,0.12,0.8,0.075,0.005,50
50,0.15,0.02,0.27,0.48,0.08,51
51,0.135,0.025,0.47,0.32,0.05,52
52,0.115,0.0,0.1,0.755,0.03,53
53,0.235,0.01,0.16,0.525,0.07,54
54,0.03,0.08,0.58,0.27,0.04,55
55,0.005,0.44,0.555,0.0,0.0,56
56,0.065,0.055,0.505,0.36,0.015,57
57,0.115,0.03,0.29,0.475,0.09,58
58,0.005,0.12,0.69,0.18,0.005,59
59,0.03,0.035,0.475,0.455,0.005,60
60,0.04,0.005,0.6,0.355,0.0,61
61,0.005,0.36,0.605,0.03,0.0,62
62,0.03,0.01,0.035,0.785,0.14,63
63,0.07,0.005,0.195,0.73,0.0,64
64,0.03,0.01,0.45,0.51,0.0,65
65,0.19,0.005,0.26,0.54,0.005,66
66,0.105,0.005,0.17,0.72,0.0,67
67,0.015,0.0,0.03,0.925,0.03,68
68,0.07,0.01,0.405,0.515,0.0,69
69,0.115,0.02,0.565,0.29,0.01,70
70,0.015,0.05,0.77,0.165,0.0,71
71,0.055,0.015,0.325,0.6,0.005,72
72,0.0,0.4,0.6,0.0,0.0,73
73,0.035,0.08,0.51,0.37,0.005,74
74,0.045,0.01,0.265,0.67,0.01,75
75,0.045,0.07,0.405,0.35,0.13,76
76,0.035,0.03,0.295,0.5,0.14,77
77,0.005,0.29,0.7,0.005,0.0,78
78,0.05,0.0,0.175,0.775,0.0,79
79,0.045,0.025,0.47,0.46,0.0,80
80,0.05,0.01,0.055,0.745,0.14,81
81,0.065,0.0,0.055,0.875,0.005,82
82,0.005,0.34,0.65,0.005,0.0,83
83,0.0,0.075,0.885,0.04,0.0,84
84,0.07,0.01,0.595,0.31,0.015,85
85,0.095,0.0,0.205,0.695,0.005,86
86,0.105,0.0,0.305,0.57,0.02,87
87,0.045,0.0,0.095,0.855,0.005,88
88,0.015,0.12,0.79,0.07,0.005,89
89,0.07,0.03,0.5,0.38,0.02,90
90,0.0,0.43,0.57,0.0,0.0,91
91,0.005,0.035,0.77,0.19,0.0,92
92,0.0,0.145,0.7,0.155,0.0,93
93,0.11,0.0,0.325,0.565,0.0,94
94,0.105,0.005,0.24,0.65,0.0,95
95,0.02,0.0,0.025,0.945,0.01,96
96,0.01,0.01,0.025,0.825,0.13,97
97,0.05,0.0,0.045,0.895,0.01,98
98,0.025,0.02,0.505,0.45,0.0,99
99,0.03,0.01,0.475,0.485,0.0,100
100,0.02,0.0,0.01,0.945,0.025,101
101,0.02,0.005,0.455,0.52,0.0,102
102,0.0,0.23,0.69,0.08,0.0,103
103,0.005,0.32,0.67,0.005,0.0,104
104,0.005,0.415,0.58,0.0,0.0,105
105,0.0,0.495,0.505,0.0,0.0,106
106,0.045,0.0,0.04,0.89,0.025,107
107,0.04,0.01,0.025,0.745,0.18,108
108,0.05,0.055,0.475,0.41,0.01,109
109,0.0,0.075,0.845,0.08,0.0,110
110,0.005,0.225,0.76,0.01,0.0,111
111,0.005,0.345,0.645,0.005,0.0,112
112,0.0,0.41,0.58,0.01,0.0,113
113,0.0,0.08,0.755,0.165,0.0,114
114,0.005,0.425,0.57,0.0,0.0,115
115,0.04,0.0,0.045,0.905,0.01,116
116,0.005,0.36,0.63,0.005,0.0,117
117,0.0,0.185,0.69,0.125,0.0,118
118,0.1,0.015,0.375,0.5,0.01,119
119,0.035,0.075,0.61,0.18,0.1,120
120,0.045,0.045,0.15,0.55,0.21,121
121,0.005,0.445,0.545,0.005,0.0,122
122,0.105,0.0,0.115,0.775,0.005,123
123,0.045,0.02,0.445,0.41,0.08,124
124,0.005,0.22,0.695,0.08,0.0,125
125,0.005,0.48,0.515,0.0,0.0,126
126,0.005,0.035,0.89,0.07,0.0,127
127,0.005,0.375,0.615,0.005,0.0,128
128,0.005,0.51,0.485,0.0,0.0,129
129,0.005,0.315,0.64,0.04,0.0,130
130,0.005,0.23,0.705,0.06,0.0,131
131,0.07,0.04,0.615,0.19,0.085,132
132,0.085,0.025,0.17,0.615,0.105,133
133,0.0,0.055,0.88,0.06,0.005,134
134,0.05,0.015,0.14,0.635,0.16,135
135,0.005,0.105,0.785,0.1,0.005,136
136,0.04,0.02,0.485,0.455,0.0,137
137,0.05,0.0,0.03,0.91,0.01,138
138,0.065,0.0,0.065,0.855,0.015,139
139,0.025,0.0,0.04,0.9,0.035,140
140,0.16,0.01,0.175,0.57,0.085,141
141,0.0,0.1,0.715,0.185,0.0,142
142,0.005,0.515,0.48,0.0,0.0,143
143,0.09,0.0,0.115,0.79,0.005,144
144,0.05,0.055,0.52,0.245,0.13,145
145,0.0,0.025,0.695,0.28,0.0,146
146,0.0,0.14,0.68,0.18,0.0,147
147,0.015,0.0,0.01,0.915,0.06,148
148,0.02,0.0,0.02,0.96,0.0,149
149,0.06,0.01,0.635,0.295,0.0,150
150,0.0,0.115,0.69,0.19,0.005,151
151,0.02,0.21,0.75,0.02,0.0,152
152,0.0,0.48,0.52,0.0,0.0,153
153,0.04,0.005,0.105,0.815,0.035,154
154,0.0,0.09,0.88,0.03,0.0,155
155,0.06,0.015,0.115,0.575,0.235,156
156,0.035,0.075,0.6,0.285,0.005,157
157,0.04,0.01,0.035,0.69,0.225,158
158,0.065,0.01,0.24,0.68,0.005,159
159,0.07,0.05,0.575,0.265,0.04,160
160,0.0,0.195,0.785,0.02,0.0,161
161,0.005,0.07,0.715,0.21,0.0,162
162,0.005,0.045,0.625,0.31,0.015,163
163,0.005,0.47,0.525,0.0,0.0,164
164,0.005,0.5,0.495,0.0,0.0,165
165,0.09,0.005,0.32,0.545,0.04,166
166,0.01,0.065,0.83,0.09,0.005,167
167,0.02,0.015,0.72,0.245,0.0,168
168,0.0,0.375,0.61,0.015,0.0,169
169,0.005,0.285,0.665,0.045,0.0,170
170,0.015,0.09,0.67,0.22,0.005,171
171,0.115,0.02,0.235,0.545,0.085,172
172,0.13,0.005,0.085,0.77,0.01,173
173,0.165,0.005,0.215,0.615,0.0,174
174,0.005,0.295,0.695,0.005,0.0,175
175,0.005,0.48,0.515,0.0,0.0,176
176,0.06,0.005,0.2,0.665,0.07,177
177,0.05,0.0,0.07,0.83,0.05,178
178,0.01,0.08,0.565,0.34,0.005,179
179,0.02,0.01,0.07,0.815,0.085,180
180,0.01,0.055,0.8,0.13,0.005,181
181,0.01,0.025,0.83,0.135,0.0,182
182,0.255,0.015,0.255,0.465,0.01,183
183,0.06,0.01,0.055,0.78,0.095,184
184,0.0,0.145,0.8,0.05,0.005,185
185,0.01,0.04,0.91,0.04,0.0,186
186,0.015,0.025,0.76,0.2,0.0,187
187,0.305,0.005,0.295,0.385,0.01,188
188,0.035,0.01,0.055,0.66,0.24,189
189,0.005,0.075,0.685,0.23,0.005,190
190,0.005,0.045,0.875,0.075,0.0,191
191,0.005,0.465,0.53,0.0,0.0,192
192,0.0,0.06,0.87,0.065,0.005,193
193,0.035,0.02,0.6,0.345,0.0,194
194,0.06,0.0,0.225,0.71,0.005,195
195,0.085,0.0,0.17,0.745,0.0,196
196,0.045,0.035,0.32,0.435,0.165,197
197,0.005,0.405,0.59,0.0,0.0,198
198,0.005,0.31,0.68,0.005,0.0,199
199,0.025,0.0,0.14,0.82,0.015,200
200,0.045,0.025,0.08,0.54,0.31,201
201,0.04,0.02,0.435,0.485,0.02,202
202,0.025,0.015,0.125,0.61,0.225,203
203,0.005,0.125,0.82,0.045,0.005,204
204,0.005,0.415,0.58,0.0,0.0,205
205,0.0,0.075,0.875,0.05,0.0,206
