Slide	calibration_point	X	Y	resolution
m1A	1	-1086.3838	-694.2489	0.135545805
m1A	2	1144.0896	-1498.2908	0.135545805
m1A	3	-369.9555	1542.8402	0.135545805
m5C	1	1003.4638	-1913.6819	0.135545805
m5C	2	2462.6677	-963.3372	0.135545805
m5C	3	1024.7385	525.3682	0.135545805
m4A	1	-766.3785	-1032.4761	0.135545805
m4A	2	1143.6364	-43.2028	0.135545805
m4A	3	-1306.2078	1226.2474	0.135545805
m3B	1	-1130.3535	-380.7196	0.135545805
m3B	2	871.6769	-65.2992	0.135545805
m3B	3	-986.3874	472.699	0.135545805
f1C	1	-1258.9844	613.2979	0.135545805
f1C	2	1000.2246	-780.7982	0.135545805
f1C	3	-334.2137	1574.2612	0.135545805
