"","description","enrichmentScore","normalizedEnrichmentScore","pValue","FDR","size","userId","database"
"1","Regulation of RAS by GAPs",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"2","APC/C-mediated degradation of cell cycle proteins",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"3","Regulation of APC/C activators between G1/S and early anaphase",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"4","SCF(Skp2)-mediated degradation of p27/p21",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"5","Regulation of mitotic cell cycle",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"6","Orc1 removal from chromatin",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"7","DNA Replication Pre-Initiation",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"8","CDK-mediated phosphorylation and removal of Cdc6",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"9","Switching of origins to a post-replicative state",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"10","Synthesis of DNA",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
"11","DNA Replication",0.48594484723941,1.69957525158127,0.00381194408664302,0.0402092971337103,33,"PSMA3;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC3;PSMC5;PSMD2;PSMD3;PSMD5;PSMD7;PSMD8;PSME2","pathway_Reactome"
