"","description","enrichmentScore","normalizedEnrichmentScore","pValue","FDR","size","userId","database"
"1","dicarboxylic acid metabolic process",0.636274034734377,2.18530387812487,0,0,60,"ACLY;ACOT4;ALDH1L1;ALDH4A1;AMDHD1;ASL;ASS1;CPOX;DHFR;DLD;FTCD;GCLC;GLS2;GLUD1;GLUL;GOT1;GOT2;HAAO;HAL;HOGA1;IDH1;IDH2;KYNU;MDH1;ME1;NAGS;OAT;OGDH;PCK1;PRODH;SDHA;SDHB;SHMT1;SUCLA2;SUCLG1;UROC1","geneontology_Biological_Process_noRedundant"
"2","benzene-containing compound metabolic process",0.769241164674484,2.08248689466603,0,0.000380006382346576,15,"ACSM1;CYP2E1;GOT2;GSTM2;GSTM3;GSTM4;HAAO;KYNU;PON3;TDO2;UGT1A1","geneontology_Biological_Process_noRedundant"
"3","peroxisome organization",0.618649676355836,2.11857710692686,0,0.00047500797793322,48,"ABCD3;ACOT2;ACOT4;ACOX3;AGXT;AMACR;DECR2;DHRS4;DNM1L;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;LONP2;NUDT7;PEX1;PEX11G;PEX16;PEX19;PEX3;SCP2;SLC27A2","geneontology_Biological_Process_noRedundant"
"4","Biosynthesis of amino acids",0.628090967646696,2.08676264417588,0,0.00047500797793322,44,"ACY1;ALDOA;ALDOB;ARG1;ASL;ASS1;CPS1;CS;CTH;ENO1;GAPDH;GLUL;GOT1;GOT2;IDH1;IDH2;IDH3A;MAT1A;NAGS;OTC;PAH;PGK1;PKLR;SDS;SHMT1;TPI1","pathway_KEGG"
"5","Peroxisome",0.603459551912098,2.07434600627919,0,0.00047500797793322,51,"ABCD3;ACOX3;ACSL1;AGXT;AMACR;DECR2;DHRS4;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;IDH2;NUDT12;NUDT7;PEX1;PEX11G;PEX16;PEX19;PEX3;PRDX1;PRDX5;SCP2;SLC27A2;SOD2;XDH","pathway_KEGG"
"6","Citrate cycle (TCA cycle)",0.695406679003914,2.07170232385299,0,0.000542866260495109,23,"ACLY;ACO1;ACO2;CS;DLAT;DLD;IDH1;IDH2;IDH3A;MDH1;MDH2;OGDH;PCK1;PDHA1;PDHB;SDHA;SDHB;SDHC;SUCLA2;SUCLG1","pathway_KEGG"
"7","organic acid biosynthetic process",0.548801865708803,2.08879104268845,0,0.000633343970577627,155,"AASS;ABCD3;ACACA;ACACB;ACADL;ACLY;ACOT12;ACOX2;ACSM1;ACSM5;ACSS2;AGXT;AGXT2;AKR1A1;ALDOA;ALDOB;AMACR;APOC1;ASL;ASPG;ASS1;BHMT;CLTC;CPS1;CSAD;CTH;CYP1A2;CYP27A1;CYP2E1;CYP7A1;CYP8B1;DECR2;DHFR;DPYD;ENO1;ENTPD5;EPHX2;FABP5;FASN;FBP1;GALK1;GAPDH;GART;GLS2;GLUD1;GLUL;GOT1;GOT2;GPD1;GSTM4;HAAO;HOGA1;HPGD;HSD17B12;HSD17B4;HSD3B7;KYNU;MCAT;MGLL;MGST1;NAGS;OAT;OGDH;OTC;PAH;PARK7;PFKFB1;PGK1;PKLR;PRKAG1;RGN;SCP2;SDS;SHMT1;SLC27A2;SLC27A5;SUCLA2;TECR;THNSL2;TPI1;UGDH","geneontology_Biological_Process_noRedundant"
"8","Arginine biosynthesis",0.773836161720428,2.02063576988774,0,0.00114001914703973,14,"ACY1;ARG1;ASL;ASS1;CPS1;GLS2;GLUD1;GLUL;GOT1;GOT2;NAGS;OTC","pathway_KEGG"
"9","Proximal tubule bicarbonate reclamation",0.819945848375449,2.00281813652125,0,0.00116925040722023,10,"ATP1A1;ATP1B1;ATP1B3;GLS2;GLUD1;MDH1;PCK1;SLC25A10;SLC38A3;SLC4A4","pathway_KEGG"
"10","pyruvate metabolic process",0.589146826862493,2.02244979151342,0,0.00126668794115525,48,"ACOT12;AGXT;ALDOA;ALDOB;BSG;DLAT;DLD;ENO1;ENTPD5;FBP1;GAPDH;GPD1;HOGA1;ME1;MPC2;OGDH;PCK1;PDHA1;PDHB;PDHX;PFKFB1;PGK1;PKLR;PRKAG1;SDS;SLC16A1;TPI1;VDAC1","geneontology_Biological_Process_noRedundant"
