,0,1,2,3,4,Shape Index
0,0.09,0.0,0.0,0.73,0.18,1
1,0.005,0.0,0.005,0.225,0.765,2
2,0.63,0.275,0.0,0.095,0.0,3
3,0.0,0.0,0.01,0.295,0.695,4
4,0.025,0.0,0.0,0.79,0.185,5
5,0.69,0.265,0.0,0.045,0.0,6
6,0.505,0.215,0.02,0.26,0.0,7
7,0.02,0.0,0.005,0.92,0.055,8
8,0.025,0.0,0.0,0.845,0.13,9
9,0.755,0.2,0.0,0.045,0.0,10
10,0.515,0.21,0.015,0.255,0.005,11
11,0.02,0.0,0.0,0.895,0.085,12
12,0.565,0.065,0.03,0.34,0.0,13
13,0.63,0.32,0.0,0.05,0.0,14
14,0.72,0.105,0.0,0.17,0.005,15
15,0.72,0.11,0.01,0.16,0.0,16
16,0.03,0.005,0.03,0.85,0.085,17
17,0.72,0.155,0.005,0.12,0.0,18
18,0.03,0.0,0.0,0.89,0.08,19
19,0.465,0.415,0.005,0.115,0.0,20
20,0.835,0.13,0.0,0.035,0.0,21
21,0.75,0.165,0.0,0.085,0.0,22
22,0.09,0.01,0.01,0.855,0.035,23
23,0.425,0.165,0.06,0.345,0.005,24
24,0.0,0.0,0.0,0.105,0.895,25
25,0.005,0.0,0.005,0.945,0.045,26
26,0.0,0.0,0.0,0.15,0.85,27
27,0.76,0.13,0.0,0.11,0.0,28
28,0.755,0.13,0.005,0.11,0.0,29
29,0.015,0.005,0.0,0.8,0.18,30
30,0.785,0.17,0.0,0.045,0.0,31
31,0.675,0.175,0.005,0.145,0.0,32
32,0.02,0.0,0.0,0.785,0.195,33
33,0.725,0.12,0.01,0.145,0.0,34
34,0.035,0.015,0.0,0.95,0.0,35
35,0.905,0.075,0.0,0.02,0.0,36
36,0.81,0.125,0.0,0.065,0.0,37
37,0.73,0.14,0.0,0.13,0.0,38
38,0.01,0.0,0.0,0.875,0.115,39
39,0.055,0.0,0.005,0.91,0.03,40
40,0.025,0.005,0.0,0.93,0.04,41
41,0.665,0.195,0.0,0.14,0.0,42
42,0.005,0.0,0.0,0.45,0.545,43
43,0.71,0.1,0.02,0.165,0.005,44
44,0.025,0.0,0.0,0.885,0.09,45
45,0.805,0.105,0.0,0.085,0.005,46
46,0.41,0.265,0.04,0.285,0.0,47
47,0.895,0.075,0.0,0.03,0.0,48
48,0.69,0.13,0.0,0.18,0.0,49
49,0.625,0.285,0.005,0.085,0.0,50
50,0.39,0.175,0.03,0.405,0.0,51
51,0.55,0.275,0.015,0.16,0.0,52
52,0.03,0.0,0.0,0.705,0.265,53
53,0.5,0.285,0.04,0.17,0.005,54
54,0.825,0.09,0.0,0.085,0.0,55
55,0.0,0.0,0.0,0.385,0.615,56
56,0.48,0.305,0.005,0.205,0.005,57
57,0.15,0.0,0.005,0.765,0.08,58
58,0.22,0.125,0.1,0.52,0.035,59
59,0.79,0.095,0.0,0.115,0.0,60
60,0.04,0.0,0.0,0.935,0.025,61
61,0.075,0.0,0.005,0.88,0.04,62
62,0.035,0.0,0.005,0.76,0.2,63
63,0.73,0.15,0.005,0.115,0.0,64
64,0.04,0.0,0.0,0.93,0.03,65
65,0.345,0.21,0.035,0.395,0.015,66
66,0.865,0.075,0.0,0.06,0.0,67
67,0.085,0.015,0.02,0.855,0.025,68
68,0.045,0.0,0.0,0.75,0.205,69
69,0.69,0.26,0.0,0.05,0.0,70
70,0.325,0.24,0.07,0.355,0.01,71
71,0.76,0.13,0.005,0.105,0.0,72
72,0.015,0.0,0.005,0.51,0.47,73
73,0.74,0.175,0.0,0.08,0.005,74
74,0.02,0.0,0.0,0.93,0.05,75
75,0.155,0.0,0.0,0.795,0.05,76
76,0.025,0.005,0.005,0.92,0.045,77
77,0.625,0.1,0.025,0.25,0.0,78
78,0.115,0.0,0.0,0.805,0.08,79
79,0.11,0.02,0.025,0.665,0.18,80
