,0,1,2,3,4,Shape Index
0,0.035,0.96,0.005,0.0,0.0,92
1,0.0,0.0,0.005,0.015,0.98,196
2,0.0,0.0,0.115,0.51,0.375,140
3,0.01,0.02,0.165,0.56,0.245,200
4,0.005,0.105,0.0,0.005,0.885,36
5,0.01,0.005,0.88,0.04,0.065,146
6,0.91,0.085,0.005,0.0,0.0,278
7,0.0,0.045,0.015,0.28,0.66,130
8,0.005,0.0,0.795,0.2,0.0,156
9,0.0,0.005,0.17,0.425,0.4,172
10,0.0,0.0,0.0,0.0,1.0,68
11,0.135,0.84,0.005,0.0,0.02,66
12,0.005,0.95,0.015,0.005,0.025,46
13,0.0,0.03,0.0,0.065,0.905,48
14,0.005,0.03,0.17,0.63,0.165,152
15,0.005,0.0,0.14,0.465,0.39,256
16,0.945,0.0,0.055,0.0,0.0,230
17,0.02,0.005,0.3,0.67,0.005,198
18,0.125,0.005,0.745,0.12,0.005,248
19,0.0,0.99,0.0,0.0,0.01,52
20,0.005,0.005,0.02,0.95,0.02,179
21,0.74,0.26,0.0,0.0,0.0,160
22,0.0,0.0,0.04,0.79,0.17,180
23,0.01,0.0,0.035,0.95,0.005,172
24,0.0,0.02,0.54,0.24,0.2,50
25,0.015,0.0,0.755,0.23,0.0,256
26,0.015,0.975,0.005,0.0,0.005,240
27,0.135,0.0,0.69,0.175,0.0,180
28,0.01,0.985,0.0,0.005,0.0,152
29,0.825,0.0,0.165,0.01,0.0,246
30,0.0,0.0,0.07,0.775,0.155,216
31,0.745,0.005,0.24,0.01,0.0,244
32,0.015,0.025,0.14,0.585,0.235,200
33,0.0,0.165,0.0,0.015,0.82,64
34,0.015,0.135,0.0,0.005,0.845,34
35,0.01,0.0,0.84,0.15,0.0,233
36,0.315,0.0,0.62,0.065,0.0,219
37,0.015,0.94,0.025,0.0,0.02,230
38,0.005,0.0,0.1,0.67,0.225,94
39,0.0,0.115,0.0,0.505,0.38,126
40,0.0,0.045,0.0,0.045,0.91,156
41,0.005,0.005,0.025,0.705,0.26,270
42,0.02,0.98,0.0,0.0,0.0,70
43,0.035,0.01,0.21,0.675,0.07,206
44,0.115,0.0,0.845,0.035,0.005,136
45,0.305,0.0,0.595,0.1,0.0,226
46,0.005,0.02,0.105,0.655,0.215,36
47,0.0,0.0,0.0,0.0,1.0,176
48,0.0,0.0,0.025,0.73,0.245,271
49,0.01,0.0,0.86,0.13,0.0,135
50,0.005,0.035,0.16,0.485,0.315,208
51,0.0,0.0,0.0,0.0,1.0,244
52,0.63,0.01,0.295,0.055,0.01,188
53,0.035,0.0,0.735,0.23,0.0,207
54,0.0,0.04,0.0,0.345,0.615,266
55,0.01,0.015,0.96,0.005,0.01,48
56,0.03,0.005,0.865,0.1,0.0,66
57,0.005,0.01,0.14,0.715,0.13,168
58,0.265,0.0,0.665,0.07,0.0,221
59,0.135,0.0,0.86,0.005,0.0,106
60,0.095,0.075,0.175,0.615,0.04,244
61,0.0,0.135,0.0,0.015,0.85,246
62,0.0,0.02,0.0,0.03,0.95,16
63,0.08,0.875,0.03,0.0,0.015,108
64,0.0,0.005,0.0,0.005,0.99,250
65,0.015,0.05,0.09,0.18,0.665,288
66,0.07,0.0,0.875,0.055,0.0,76
67,0.025,0.005,0.91,0.06,0.0,236
68,0.005,0.0,0.215,0.775,0.005,261
69,0.01,0.0,0.34,0.63,0.02,167
70,0.0,0.0,0.015,0.98,0.005,265
71,0.0,0.01,0.0,0.0,0.99,148
72,0.81,0.0,0.17,0.015,0.005,84
73,0.015,0.0,0.305,0.675,0.005,188
74,0.0,0.045,0.0,0.02,0.935,86
75,0.0,0.0,0.495,0.505,0.0,264
76,0.005,0.03,0.205,0.3,0.46,212
77,0.025,0.01,0.205,0.72,0.04,54
