sample	slide	frame	sample_batch	evobox	mouse	tims_adj	included
slide01_frame01	1	1	1	1	5	0	TRUE
slide01_frame02	1	2	1	1	5	0	TRUE
slide01_frame03	1	3	1	1	5	0	TRUE
slide01_frame04	1	4	1	1	5	0	TRUE
slide01_frame05	1	5	1	1	5	0	TRUE
slide01_frame06	1	6	1	1	5	0	TRUE
slide01_frame07	1	7	1	1	5	0	TRUE
slide01_frame08	1	8	1	1	5	0	TRUE
slide01_frame09	1	9	1	1	5	0	TRUE
slide01_frame10	1	10	1	1	5	0	TRUE
slide01_frame11	1	11	1	1	5	0	TRUE
slide01_frame12	1	12	1	1	5	0	TRUE
slide01_frame13	1	13	1	1	5	0	FALSE
slide01_frame14	1	14	1	1	5	0	TRUE
slide01_frame15	1	15	1	1	5	0	TRUE
slide01_frame16	1	16	1	1	5	0	FALSE
slide01_frame17	1	17	1	1	5	0	TRUE
slide01_frame18	1	18	1	1	5	0	TRUE
slide01_frame19	1	19	1	1	5	0	TRUE
slide01_frame20	1	20	1	1	5	0	TRUE
slide01_frame21	1	21	1	1	5	0	FALSE
slide01_frame22	1	22	1	1	5	0	TRUE
slide02_frame01	2	1	1	1	5	0	TRUE
slide02_frame02	2	2	1	1	5	0	TRUE
slide02_frame03	2	3	1	1	5	0	TRUE
slide02_frame04	2	4	1	1	5	0	TRUE
slide02_frame05	2	5	1	1	5	0	TRUE
slide02_frame06	2	6	1	1	5	0	TRUE
slide02_frame07	2	7	1	1	5	0	TRUE
slide02_frame08	2	8	1	1	5	0	TRUE
slide02_frame09	2	9	1	1	5	0	TRUE
slide02_frame10	2	10	1	1	5	0	TRUE
slide02_frame11	2	11	1	1	5	0	TRUE
slide02_frame12	2	12	1	1	5	0	TRUE
slide02_frame13	2	13	1	1	5	0	TRUE
slide02_frame14	2	14	1	1	5	0	TRUE
slide02_frame15	2	15	1	1	5	0	TRUE
slide02_frame16	2	16	1	1	5	0	TRUE
slide02_frame17	2	17	1	1	5	0	TRUE
slide02_frame18	2	18	1	1	5	0	TRUE
slide02_frame19	2	19	1	1	5	0	TRUE
slide02_frame20	2	20	1	1	5	0	TRUE
slide02_frame21	2	21	1	1	5	0	TRUE
slide02_frame22	2	22	1	1	5	0	TRUE
slide03_frame01	3	1	1	1	3	0	TRUE
slide03_frame02	3	2	1	1	3	0	TRUE
slide03_frame03	3	3	1	1	3	0	FALSE
slide03_frame04	3	4	1	1	3	0	TRUE
slide03_frame05	3	5	1	1	3	0	FALSE
slide03_frame06	3	6	1	1	3	0	TRUE
slide03_frame07	3	7	1	1	3	0	TRUE
slide03_frame08	3	8	1	1	3	0	TRUE
