Protein	Symbol	ENSEMBL	bin	int
A0A075B5P3	NA	NA	1	8.937586084864524
A0A075B5P3	NA	NA	2	8.751690847302804
A0A075B5P3	NA	NA	3	9.316516959850468
A0A075B5P3	NA	NA	4	8.54252557616157
A0A075B5P3	NA	NA	5	9.236081431276762
A0A075B5P3	NA	NA	6	8.73448494091476
A0A075B5P3	NA	NA	7	8.64339963888103
A0A075B5P3	NA	NA	8	9.305641107491653
A0A075B5P4	NA	NA	1	7.329934884111272
A0A075B5P4	NA	NA	2	6.911258478288479
A0A075B5P4	NA	NA	3	7.333351544914866
A0A075B5P4	NA	NA	4	7.116567489843475
A0A075B5P4	NA	NA	5	7.8042185736785505
A0A075B5P4	NA	NA	6	7.387176317299265
A0A075B5P4	NA	NA	7	7.008234555426328
A0A075B5P4	NA	NA	8	6.6799312144639735
A0A075B5R5	NA	NA	1	0
A0A075B5R5	NA	NA	2	0
A0A075B5R5	NA	NA	3	0
A0A075B5R5	NA	NA	4	5.797071915672892
A0A075B5R5	NA	NA	5	2.8533109853518916
A0A075B5R5	NA	NA	6	2.368821197387488
A0A075B5R5	NA	NA	7	2.3397015000309778
A0A075B5R5	NA	NA	8	0
A0A075B6A3	NA	NA	1	7.898030343030318
A0A075B6A3	NA	NA	2	7.969248697406899
A0A075B6A3	NA	NA	3	8.405127164910681
A0A075B6A3	NA	NA	4	8.783505326932941
A0A075B6A3	NA	NA	5	9.476946562096982
A0A075B6A3	NA	NA	6	10.30917561259364
A0A075B6A3	NA	NA	7	10.042518451942389
A0A075B6A3	NA	NA	8	10.292726094565465
A0A087WNW3	Ktn1	ENSMUSG00000021843	1	6.689154573358816
A0A087WNW3	Ktn1	ENSMUSG00000021843	2	6.730271090478538
A0A087WNW3	Ktn1	ENSMUSG00000021843	3	7.7641758280464055
A0A087WNW3	Ktn1	ENSMUSG00000021843	4	7.439006535831728
A0A087WNW3	Ktn1	ENSMUSG00000021843	5	7.179444968809273
A0A087WNW3	Ktn1	ENSMUSG00000021843	6	7.763017883376394
A0A087WNW3	Ktn1	ENSMUSG00000021843	7	7.043114670095445
A0A087WNW3	Ktn1	ENSMUSG00000021843	8	7.279583203091294
A0A087WQ94	NA	NA	1	8.43748926472358
A0A087WQ94	NA	NA	2	8.05379638126043
A0A087WQ94	NA	NA	3	8.957447135658601
A0A087WQ94	NA	NA	4	8.922564587098202
A0A087WQ94	NA	NA	5	9.174977161367426
A0A087WQ94	NA	NA	6	9.299267286261356
A0A087WQ94	NA	NA	7	8.977267949692873
A0A087WQ94	NA	NA	8	9.186290507809032
A0A087WR50	Fn1	ENSMUSG00000026193	1	10.910339910906862
A0A087WR50	Fn1	ENSMUSG00000026193	2	11.230855785345792
A0A087WR50	Fn1	ENSMUSG00000026193	3	10.832800380381077
A0A087WR50	Fn1	ENSMUSG00000026193	4	11.057599197197307
A0A087WR50	Fn1	ENSMUSG00000026193	5	11.00900655196618
A0A087WR50	Fn1	ENSMUSG00000026193	6	11.2475360202417
A0A087WR50	Fn1	ENSMUSG00000026193	7	11.528768335380189
A0A087WR50	Fn1	ENSMUSG00000026193	8	11.367975096716965
A0A087WS16	NA	NA	1	10.673437209334152
A0A087WS16	NA	NA	2	11.037231525958207
A0A087WS16	NA	NA	3	10.082762200626432
A0A087WS16	NA	NA	4	9.410502705912537
A0A087WS16	NA	NA	5	8.657170129957848
A0A087WS16	NA	NA	6	9.56081624034174
A0A087WS16	NA	NA	7	9.476968799971406
A0A087WS16	NA	NA	8	9.96614863166337
A0A087WSP5	Stat1	ENSMUSG00000026104	1	10.937865019328353
A0A087WSP5	Stat1	ENSMUSG00000026104	2	10.183438002632375
A0A087WSP5	Stat1	ENSMUSG00000026104	3	10.309701665749564
A0A087WSP5	Stat1	ENSMUSG00000026104	4	10.262741066426884
A0A087WSP5	Stat1	ENSMUSG00000026104	5	10.386900900284667
A0A087WSP5	Stat1	ENSMUSG00000026104	6	10.608244263632416
A0A087WSP5	Stat1	ENSMUSG00000026104	7	10.891123005098201
A0A087WSP5	Stat1	ENSMUSG00000026104	8	10.790210547705794
A0A0A6YVS2	NA	NA	1	9.917415465541513
A0A0A6YVS2	NA	NA	2	10.287138566931409
A0A0A6YVS2	NA	NA	3	10.150148763736171
A0A0A6YVS2	NA	NA	4	10.16043549014884
A0A0A6YVS2	NA	NA	5	10.039130415225834
A0A0A6YVS2	NA	NA	6	10.068340504299293
A0A0A6YVS2	NA	NA	7	9.769245024989226
A0A0A6YVS2	NA	NA	8	10.097109252232885
A0A0A6YW80	NA	NA	1	10.790464524728172
A0A0A6YW80	NA	NA	2	11.450125106693912
A0A0A6YW80	NA	NA	3	11.451001396648703
A0A0A6YW80	NA	NA	4	11.642770543904005
A0A0A6YW80	NA	NA	5	11.472834504735271
A0A0A6YW80	NA	NA	6	11.774347695082007
A0A0A6YW80	NA	NA	7	11.860986186405482
A0A0A6YW80	NA	NA	8	11.758782255779023
