Protein	Symbol	ENSEMBL	bin	int
A0A087WNW3	Ktn1	ENSMUSG00000021843	1	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	2	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	3	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	4	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	5	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	6	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	7	0
A0A087WNW3	Ktn1	ENSMUSG00000021843	8	0
A0A087WR50	Fn1	ENSMUSG00000026193	1	11.531921631901993
A0A087WR50	Fn1	ENSMUSG00000026193	2	11.35650986842856
A0A087WR50	Fn1	ENSMUSG00000026193	3	11.496933087157883
A0A087WR50	Fn1	ENSMUSG00000026193	4	11.640612949935461
A0A087WR50	Fn1	ENSMUSG00000026193	5	11.60407691273842
A0A087WR50	Fn1	ENSMUSG00000026193	6	11.623183407394043
A0A087WR50	Fn1	ENSMUSG00000026193	7	11.929220240327107
A0A087WR50	Fn1	ENSMUSG00000026193	8	12.121286562389042
A0A087WSP5	Stat1	ENSMUSG00000026104	1	11.28824537648097
A0A087WSP5	Stat1	ENSMUSG00000026104	2	10.854801638927613
A0A087WSP5	Stat1	ENSMUSG00000026104	3	11.318202065578188
A0A087WSP5	Stat1	ENSMUSG00000026104	4	11.232726578755374
A0A087WSP5	Stat1	ENSMUSG00000026104	5	11.139033342109482
A0A087WSP5	Stat1	ENSMUSG00000026104	6	11.761701929577542
A0A087WSP5	Stat1	ENSMUSG00000026104	7	11.102711079331339
A0A087WSP5	Stat1	ENSMUSG00000026104	8	11.519727219482844
A0A0A6YXL6	Lrba	ENSMUSG00000028080	1	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	2	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	3	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	4	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	5	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	6	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	7	0
A0A0A6YXL6	Lrba	ENSMUSG00000028080	8	0
A0A0B4J1G1	Fcgr2b	ENSMUSG00000026656	1	0
A0A0B4J1G1	Fcgr2b	ENSMUSG00000026656	2	9.874889260277323
A0A0B4J1G1	Fcgr2b	ENSMUSG00000026656	3	7.576485249995647
A0A0B4J1G1	Fcgr2b	ENSMUSG00000026656	4	0
