Protein	ENSEMBL	Symbol	bin	int
A0A075B5P3	NA	NA	1	8.8789695350132245
A0A075B5P3	NA	NA	2	0
A0A075B5P3	NA	NA	3	0
A0A075B5P3	NA	NA	4	0
A0A075B5P3	NA	NA	5	0
A0A075B5P3	NA	NA	6	0
A0A075B5P3	NA	NA	7	0
A0A075B5P3	NA	NA	8	0
A0A075B5P3	NA	NA	9	0
A0A075B5P4	NA	NA	1	0
A0A075B5P4	NA	NA	2	0
A0A075B5P4	NA	NA	3	0
A0A075B5P4	NA	NA	4	0
A0A075B5P4	NA	NA	5	0
A0A075B5P4	NA	NA	6	0
A0A075B5P4	NA	NA	7	0
A0A075B5P4	NA	NA	8	0
A0A075B5P4	NA	NA	9	0
A0A075B5R5	NA	NA	1	0
A0A075B5R5	NA	NA	2	0
A0A075B5R5	NA	NA	3	0
A0A075B5R5	NA	NA	4	0
A0A075B5R5	NA	NA	5	0
A0A075B5R5	NA	NA	6	0
A0A075B5R5	NA	NA	7	0
A0A075B5R5	NA	NA	8	0
A0A075B5R5	NA	NA	9	0
A0A075B6A3	NA	NA	1	0
A0A075B6A3	NA	NA	2	0
A0A075B6A3	NA	NA	3	0
A0A075B6A3	NA	NA	4	0
A0A075B6A3	NA	NA	5	10.713688686340143
A0A075B6A3	NA	NA	6	10.646677654662605
A0A075B6A3	NA	NA	7	11.126176852282944
A0A075B6A3	NA	NA	8	9.934842254635074
A0A075B6A3	NA	NA	9	11.026284485909342
A0A087WNW3	ENSMUSG00000021843	Ktn1	1	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	2	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	3	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	4	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	5	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	6	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	7	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	8	0
A0A087WNW3	ENSMUSG00000021843	Ktn1	9	0
A0A087WQ94	NA	NA	1	0
A0A087WQ94	NA	NA	2	0
A0A087WQ94	NA	NA	3	0
A0A087WQ94	NA	NA	4	0
A0A087WQ94	NA	NA	5	0
A0A087WQ94	NA	NA	6	0
A0A087WQ94	NA	NA	7	0
A0A087WQ94	NA	NA	8	0
A0A087WQ94	NA	NA	9	0
A0A087WR50	ENSMUSG00000026193	Fn1	1	11.50966808439244
A0A087WR50	ENSMUSG00000026193	Fn1	2	11.332722731843857
A0A087WR50	ENSMUSG00000026193	Fn1	3	11.498261128147917
A0A087WR50	ENSMUSG00000026193	Fn1	4	11.490539087940443
A0A087WR50	ENSMUSG00000026193	Fn1	5	11.665702458405644
A0A087WR50	ENSMUSG00000026193	Fn1	6	11.478733333358573
A0A087WR50	ENSMUSG00000026193	Fn1	7	11.648164906054143
A0A087WR50	ENSMUSG00000026193	Fn1	8	11.929220240327107
A0A087WR50	ENSMUSG00000026193	Fn1	9	12.187194076558642
A0A087WS16	NA	NA	1	11.297279352191339
A0A087WS16	NA	NA	2	0
A0A087WS16	NA	NA	3	0
A0A087WS16	NA	NA	4	0
