,0,1,2,3,4,Shape Index
0,0.985,0.0,0.0,0.0,0.015,52
1,0.02,0.005,0.14,0.61,0.225,218
2,0.02,0.81,0.1,0.03,0.04,240
3,0.01,0.01,0.245,0.66,0.075,196
4,0.0,0.005,0.985,0.005,0.005,192
5,0.0,0.85,0.15,0.0,0.0,6
6,0.055,0.015,0.49,0.39,0.05,192
7,0.0,0.56,0.435,0.005,0.0,285
8,0.0,0.005,0.035,0.62,0.34,170
9,0.075,0.0,0.135,0.705,0.085,269
10,0.0,0.875,0.125,0.0,0.0,58
11,0.09,0.0,0.0,0.0,0.91,36
12,0.0,0.0,0.025,0.8,0.175,120
13,0.005,0.0,0.01,0.06,0.925,16
14,0.015,0.005,0.075,0.905,0.0,179
15,0.01,0.025,0.815,0.15,0.0,164
16,0.055,0.0,0.0,0.005,0.94,138
17,0.0,0.005,0.05,0.825,0.12,162
18,0.04,0.0,0.17,0.35,0.44,92
19,0.35,0.645,0.0,0.0,0.005,160
20,0.0,0.0,0.01,0.01,0.98,140
21,0.0,0.775,0.21,0.015,0.0,244
22,0.94,0.01,0.0,0.015,0.035,134
23,0.025,0.005,0.815,0.155,0.0,231
24,0.855,0.125,0.0,0.0,0.02,66
25,0.025,0.0,0.0,0.07,0.905,210
26,0.89,0.075,0.0,0.005,0.03,72
27,0.01,0.01,0.835,0.145,0.0,238
28,0.965,0.015,0.0,0.0,0.02,46
29,0.0,0.0,0.0,0.045,0.955,170
30,0.06,0.01,0.005,0.01,0.915,150
31,0.03,0.04,0.69,0.24,0.0,207
32,0.125,0.055,0.49,0.305,0.025,300
33,0.96,0.01,0.0,0.0,0.03,198
34,0.0,0.77,0.225,0.005,0.0,227
35,0.025,0.0,0.0,0.09,0.885,256
36,0.18,0.0,0.0,0.015,0.805,34
37,0.03,0.0,0.34,0.485,0.145,50
38,0.0,0.015,0.98,0.005,0.0,194
39,0.795,0.005,0.0,0.05,0.15,100
40,0.0,0.0,0.005,0.93,0.065,174
41,0.075,0.035,0.775,0.085,0.03,46
42,0.595,0.4,0.0,0.0,0.005,98
43,0.01,0.0,0.0,0.0,0.99,14
44,0.025,0.0,0.08,0.83,0.065,168
45,0.01,0.01,0.235,0.74,0.005,198
46,0.0,0.12,0.87,0.01,0.0,32
47,0.0,0.0,0.005,0.97,0.025,197
48,0.0,0.0,0.05,0.78,0.17,130
49,0.005,0.015,0.955,0.01,0.015,102
50,0.975,0.01,0.0,0.0,0.015,70
51,0.935,0.06,0.005,0.0,0.0,118
52,0.0,0.0,0.09,0.705,0.205,160
53,0.065,0.86,0.07,0.005,0.0,158
54,0.02,0.0,0.01,0.07,0.9,178
55,0.01,0.585,0.385,0.02,0.0,12
56,0.005,0.005,0.0,0.015,0.975,232
57,0.045,0.005,0.0,0.03,0.92,12
58,0.05,0.005,0.525,0.42,0.0,264
59,0.05,0.0,0.04,0.28,0.63,30
60,0.08,0.01,0.06,0.255,0.595,252
61,0.0,0.5,0.495,0.005,0.0,158
62,0.02,0.005,0.83,0.145,0.0,135
63,0.0,0.23,0.61,0.16,0.0,199
64,0.005,0.005,0.0,0.02,0.97,84
65,0.095,0.025,0.61,0.27,0.0,224
66,0.975,0.025,0.0,0.0,0.0,82
67,0.9,0.035,0.005,0.01,0.05,268
68,0.01,0.0,0.0,0.035,0.955,174
69,0.075,0.265,0.595,0.06,0.005,138
70,0.01,0.33,0.635,0.025,0.0,219
71,0.0,0.0,0.0,0.995,0.005,206
72,0.015,0.0,0.28,0.525,0.18,22
73,0.0,0.98,0.02,0.0,0.0,262
74,0.37,0.62,0.01,0.0,0.0,78
75,0.845,0.085,0.04,0.01,0.02,18
76,0.005,0.065,0.78,0.145,0.005,204
77,0.01,0.0,0.095,0.615,0.28,298
78,0.025,0.325,0.635,0.01,0.005,242
79,0.0,0.0,0.0,1.0,0.0,239
80,0.01,0.015,0.325,0.625,0.025,167
81,0.0,0.045,0.865,0.09,0.0,263
