geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId	cluster_peak_ID
mmu00830	Retinol metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00830+13077+100727+11668+394436+243085+94284+13096+13095+107141+13086+13112+394433+22238+71773+231396	0.8996875493922564	1.479465725091587	0.001470588233131488	0.008293467814217683	37	./Project_1683994666_GSEA/mmu00830.png	15	13077;100727;11668;394436;243085;94284;13096;13095;107141;13086;13112;394433;22238;71773;231396	ENSMUSG00000003053;ENSMUSG00000029260;ENSMUSG00000032310;ENSMUSG00000035811;ENSMUSG00000035836;ENSMUSG00000042248;ENSMUSG00000053279;ENSMUSG00000054545;ENSMUSG00000054630;ENSMUSG00000054827;ENSMUSG00000056035;ENSMUSG00000070704;ENSMUSG00000074254;ENSMUSG00000089943;ENSMUSG00000089960	1
mmu00591	Linoleic acid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00591+13077+13096+13095+107141+13106+13112	0.9549371128294759	1.407726720157333	0.005934718092084988	0.16586935628435365	12	./Project_1683994666_GSEA/mmu00591.png	6	13077;13096;13095;107141;13106;13112	ENSMUSG00000003053;ENSMUSG00000025479;ENSMUSG00000032310;ENSMUSG00000042248;ENSMUSG00000054827;ENSMUSG00000056035	1
mmu00982	Drug metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00982+13077+100727+14261+394436+14864+243085+94284+14862+14871+13106+14865+394433+14859+22238+71773+231396+56615+14263+72094	0.8372861802963396	1.383629104226599	0.008902077138127481	0.2736844378691835	39	./Project_1683994666_GSEA/mmu00982.png	19	13077;100727;14261;394436;14864;243085;94284;14862;14871;13106;14865;394433;14859;22238;71773;231396;56615;14263;72094	ENSMUSG00000001663;ENSMUSG00000004038;ENSMUSG00000008540;ENSMUSG00000025479;ENSMUSG00000025934;ENSMUSG00000027890;ENSMUSG00000028088;ENSMUSG00000029260;ENSMUSG00000032310;ENSMUSG00000035780;ENSMUSG00000035811;ENSMUSG00000035836;ENSMUSG00000040181;ENSMUSG00000054545;ENSMUSG00000054630;ENSMUSG00000058135;ENSMUSG00000070704;ENSMUSG00000089943;ENSMUSG00000089960	1
mmu00260	Glycine, serine and threonine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00260+12411+13382+192166+107869+14711	-0.9086781325475799	-1.4251888667589914	0.05714285696145125	0.3073409282103293	23	./Project_1683994666_GSEA/mmu00260.png	5	12411;13382;192166;107869;14711	ENSMUSG00000002769;ENSMUSG00000009614;ENSMUSG00000020664;ENSMUSG00000024039;ENSMUSG00000028179	1
mmu00230	Purine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00230+56248+231327+22262	-0.8632809143669032	-1.380526789457505	0.15076923030532544	0.3223105408401538	19	./Project_1683994666_GSEA/mmu00230.png	3	56248;231327;22262	ENSMUSG00000024782;ENSMUSG00000028186;ENSMUSG00000029246	1
mmu04260	Cardiac muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04260+12866+66694+22273+12858+66445+12857+12864+22272+67003	-0.893979425318291	-1.390456348344504	0.0968858128135439	0.32348986956624287	19	./Project_1683994666_GSEA/mmu04260.png	9	12866;66694;22273;12858;66445;12857;12864;22272;67003	ENSMUSG00000000088;ENSMUSG00000014313;ENSMUSG00000022551;ENSMUSG00000025651;ENSMUSG00000030884;ENSMUSG00000031818;ENSMUSG00000032330;ENSMUSG00000038462;ENSMUSG00000044894	1
mmu00340	Histidine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00340+15109+71761+14317	-0.9105713824513947	-1.3973054879226376	0.10089020741575606	0.33332975960992095	11	./Project_1683994666_GSEA/mmu00340.png	3	15109;71761;14317	ENSMUSG00000001155;ENSMUSG00000015890;ENSMUSG00000020017	1
mmu05016	Huntington disease	http://www.kegg.jp/kegg-bin/show_pathway?mmu05016+17710+105675+66046+68349+66416+226646+17992+11950+12866+11949+66694+22273+12858+67273+66495+66445+12857+12864+20656+17995+11957+67130+11947+11946+66043+28080+22272+71679+67003	-0.8101650353380858	-1.4274528944645493	0.051359516461149494	0.3363298110715381	76	./Project_1683994666_GSEA/mmu05016.png	29	17710;105675;66046;68349;66416;226646;17992;11950;12866;11949;66694;22273;12858;67273;66495;66445;12857;12864;20656;17995;11957;67130;11947;11946;66043;28080;22272;71679;67003	ENSMUSG00000000088;ENSMUSG00000000563;ENSMUSG00000003072;ENSMUSG00000005510;ENSMUSG00000006818;ENSMUSG00000013593;ENSMUSG00000014313;ENSMUSG00000021868;ENSMUSG00000022450;ENSMUSG00000022551;ENSMUSG00000022890;ENSMUSG00000022956;ENSMUSG00000025393;ENSMUSG00000025428;ENSMUSG00000025651;ENSMUSG00000025781;ENSMUSG00000026032;ENSMUSG00000026260;ENSMUSG00000027673;ENSMUSG00000029632;ENSMUSG00000030884;ENSMUSG00000031818;ENSMUSG00000032330;ENSMUSG00000034566;ENSMUSG00000037916;ENSMUSG00000038462;ENSMUSG00000041881;ENSMUSG00000044894;ENSMUSG00000064358	1
mmu00250	Alanine, aspartate and glutamate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00250+231327+216456+109900+11898+227231	-0.8966819413074542	-1.4045663631403613	0.08282208563551507	0.3429299242870958	18	./Project_1683994666_GSEA/mmu00250.png	5	231327;216456;109900;11898;227231	ENSMUSG00000025533;ENSMUSG00000025991;ENSMUSG00000029246;ENSMUSG00000044005;ENSMUSG00000076441	1
mmu00030	Pentose phosphate pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu00030+14121+230163	-0.8663158963877475	-1.3533333299647314	0.1128526642230324	0.34397245088095857	15	./Project_1683994666_GSEA/mmu00030.png	2	14121;230163	ENSMUSG00000028307;ENSMUSG00000069805	1
mmu01100	Metabolic pathways	http://www.kegg.jp/kegg-bin/show_pathway?mmu01100+52538+78920+67273+13085+225913+66495+211389+66445+13361+12411+108664+12857+12864+104112+208715+11973+13382+14121+30956+20916+234564+17995+231327+15109+192166+20917+11957+11429+67130+216456+11947+11946+71761+66043+99586+28080+22272+71679+107869+67003+14317+109900+15483+22262+75986+230163+56451+18416+11846+11898+227231	-0.6196942759776795	-1.3628479545250491	0.0043383947845154125	0.3440337759747152	399	./Project_1683994666_GSEA/mmu01100.png	51	52538;78920;67273;13085;225913;66495;211389;66445;13361;12411;108664;12857;12864;104112;208715;11973;13382;14121;30956;20916;234564;17995;231327;15109;192166;20917;11957;11429;67130;216456;11947;11946;71761;66043;99586;28080;22272;71679;107869;67003;14317;109900;15483;22262;75986;230163;56451;18416;11846;11898;227231	ENSMUSG00000001155;ENSMUSG00000003072;ENSMUSG00000004789;ENSMUSG00000009614;ENSMUSG00000014313;ENSMUSG00000015890;ENSMUSG00000016194;ENSMUSG00000019210;ENSMUSG00000019987;ENSMUSG00000020017;ENSMUSG00000020664;ENSMUSG00000020917;ENSMUSG00000021707;ENSMUSG00000022110;ENSMUSG00000022450;ENSMUSG00000022477;ENSMUSG00000022551;ENSMUSG00000022890;ENSMUSG00000022956;ENSMUSG00000024039;ENSMUSG00000025393;ENSMUSG00000025428;ENSMUSG00000025533;ENSMUSG00000025991;ENSMUSG00000026032;ENSMUSG00000026260;ENSMUSG00000028179;ENSMUSG00000028186;ENSMUSG00000028307;ENSMUSG00000029246;ENSMUSG00000029695;ENSMUSG00000030884;ENSMUSG00000031173;ENSMUSG00000031725;ENSMUSG00000031818;ENSMUSG00000033308;ENSMUSG00000033793;ENSMUSG00000034371;ENSMUSG00000034566;ENSMUSG00000036880;ENSMUSG00000037916;ENSMUSG00000040706;ENSMUSG00000044005;ENSMUSG00000044894;ENSMUSG00000049858;ENSMUSG00000052738;ENSMUSG00000060407;ENSMUSG00000061838;ENSMUSG00000069805;ENSMUSG00000076441;ENSMUSG00000093930	1
mmu05012	Parkinson disease	http://www.kegg.jp/kegg-bin/show_pathway?mmu05012+17710+105675+66046+68349+66416+226646+17992+11950+12866+11949+66694+22273+12858+67273+66495+66445+12857+12864+17995+11957+67130+11947+11946+66043+28080+22272+71679+67003	-0.8175421028750586	-1.434421587926067	0.049562682071245825	0.3559921692572588	70	./Project_1683994666_GSEA/mmu05012.png	28	17710;105675;66046;68349;66416;226646;17992;11950;12866;11949;66694;22273;12858;67273;66495;66445;12857;12864;17995;11957;67130;11947;11946;66043;28080;22272;71679;67003	ENSMUSG00000000088;ENSMUSG00000000563;ENSMUSG00000003072;ENSMUSG00000005510;ENSMUSG00000013593;ENSMUSG00000014313;ENSMUSG00000021868;ENSMUSG00000022450;ENSMUSG00000022551;ENSMUSG00000022890;ENSMUSG00000022956;ENSMUSG00000025393;ENSMUSG00000025428;ENSMUSG00000025651;ENSMUSG00000025781;ENSMUSG00000026032;ENSMUSG00000026260;ENSMUSG00000027673;ENSMUSG00000029632;ENSMUSG00000030884;ENSMUSG00000031818;ENSMUSG00000032330;ENSMUSG00000034566;ENSMUSG00000037916;ENSMUSG00000038462;ENSMUSG00000041881;ENSMUSG00000044894;ENSMUSG00000064358	1
mmu00053	Ascorbate and aldarate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00053+268756+100727+394436+243085+94284+394433+22238+71773+231396	0.886193403390876	1.313177002869282	0.03433476389937802	0.36220125780939144	18	./Project_1683994666_GSEA/mmu00053.png	9	268756;100727;394436;243085;94284;394433;22238;71773;231396	ENSMUSG00000029260;ENSMUSG00000034450;ENSMUSG00000035811;ENSMUSG00000035836;ENSMUSG00000054545;ENSMUSG00000054630;ENSMUSG00000070704;ENSMUSG00000089943;ENSMUSG00000089960	1
