cell_ID	range	bin	ratio	bio_ID	Index	run	label_short	dist_to_central_vein(pixels)	dist_to_portal_vein(pixels)	sum_distance	included	Hepatocyte
m4A_37_target8	[0.0249,0.0724]	11	0.05505279034690799	m4A	162	37	8	1253	73	1326	TRUE	TRUE
m5C_30_target8	[0.0249,0.0724]	11	0.05511811023622047	m5C	126	30	8	840	49	889	TRUE	TRUE
m5C_35_target4	[0.0249,0.0724]	11	0.03263157894736842	m5C	136	35	4	919	31	950	TRUE	TRUE
m3B_10_target8	[0.0249,0.0724]	11	0.024868123587038434	m3B	173	10	8	1294	33	1327	TRUE	TRUE
m3B_20_target4	[0.0249,0.0724]	11	0.0391644908616188	m3B	193	20	4	736	30	766	TRUE	TRUE
m3B_36_target4	[0.0249,0.0724]	11	0.04318936877076412	m3B	269	36	4	864	39	903	TRUE	TRUE
m4A_03_target8	(0.0724,0.12]	10	0.1017463933181473	m4A	28	3	8	1183	134	1317	TRUE	TRUE
m4A_15_target8	(0.0724,0.12]	10	0.09882583170254403	m4A	74	15	8	921	101	1022	TRUE	TRUE
m4A_34_target4	(0.0724,0.12]	10	0.10915492957746478	m4A	134	34	4	1265	155	1420	TRUE	TRUE
m5C_20_target4	(0.0724,0.12]	10	0.08608695652173913	m5C	62	20	4	1051	99	1150	TRUE	TRUE
m5C_43_target8	(0.0724,0.12]	10	0.08670143415906127	m5C	174	43	8	1401	133	1534	TRUE	TRUE
m3B_35_target8	(0.0724,0.12]	10	0.07275953859804792	m3B	289	35	8	1045	82	1127	TRUE	TRUE
m3B_60_target4	(0.0724,0.12]	10	0.07740916271721959	m3B	186	60	4	584	49	633	TRUE	TRUE
m4A_09_target4	(0.12,0.167]	9	0.14669223394055608	m4A	18	9	4	890	153	1043	TRUE	TRUE
m4A_02_target8	(0.12,0.167]	9	0.16350496838301717	m4A	26	2	8	926	181	1107	TRUE	TRUE
m4A_37_target4	(0.12,0.167]	9	0.1258191349934469	m4A	140	37	4	667	96	763	TRUE	TRUE
m4A_41_target8	(0.12,0.167]	9	0.1306122448979592	m4A	170	41	8	1278	192	1470	TRUE	TRUE
m4A_69_target4	(0.12,0.167]	9	0.13	m4A	270	69	4	957	143	1100	TRUE	TRUE
m5C_41_target4	(0.12,0.167]	9	0.13414634146341464	m5C	148	41	4	1136	176	1312	TRUE	TRUE
m5C_54_target4	(0.12,0.167]	9	0.13166855845629966	m5C	196	54	4	765	116	881	TRUE	TRUE
m3B_11_target8	(0.12,0.167]	9	0.16391509433962265	m3B	175	11	8	709	139	848	TRUE	TRUE
m3B_51_target8	(0.12,0.167]	9	0.1627450980392157	m3B	168	51	8	854	166	1020	TRUE	TRUE
m3B_55_target8	(0.12,0.167]	9	0.1360381861575179	m3B	176	55	8	724	114	838	TRUE	TRUE
m4A_24_target8	(0.167,0.215]	8	0.1729264475743349	m4A	114	24	8	1057	221	1278	TRUE	TRUE
m4A_45_target8	(0.167,0.215]	8	0.20403225806451614	m4A	200	45	8	987	253	1240	TRUE	TRUE
m4A_49_target8	(0.167,0.215]	8	0.1732142857142857	m4A	208	49	8	1389	291	1680	TRUE	TRUE
m4A_70_target8	(0.167,0.215]	8	0.17229129662522202	m4A	294	70	8	932	194	1126	TRUE	TRUE
m4A_72_target8	(0.167,0.215]	8	0.18541033434650456	m4A	298	72	8	804	183	987	TRUE	TRUE
m5C_12_target8	(0.167,0.215]	8	0.21140142517814728	m5C	68	12	8	996	267	1263	TRUE	TRUE
m5C_37_target4	(0.167,0.215]	8	0.20418848167539266	m5C	140	37	4	1216	312	1528	TRUE	TRUE
m5C_40_target4	(0.167,0.215]	8	0.21004098360655737	m5C	146	40	4	771	205	976	TRUE	TRUE
m5C_62_target8	(0.167,0.215]	8	0.20378331900257954	m5C	256	62	8	926	237	1163	TRUE	TRUE
m5C_66_target8	(0.167,0.215]	8	0.17484662576687116	m5C	264	66	8	807	171	978	TRUE	TRUE
