,0,1,2,3,4,Shape Index
0,0.0,0.19,0.725,0.075,0.01,1
1,0.005,0.785,0.21,0.0,0.0,2
2,0.0,0.0,0.03,0.675,0.295,3
3,0.005,0.775,0.215,0.0,0.005,4
4,0.005,0.165,0.805,0.025,0.0,5
5,0.0,0.0,0.025,0.77,0.205,6
6,0.05,0.0,0.25,0.505,0.195,7
7,0.03,0.06,0.89,0.015,0.005,8
8,0.005,0.12,0.86,0.015,0.0,9
9,0.0,0.0,0.01,0.73,0.26,10
10,0.005,0.0,0.22,0.58,0.195,11
11,0.0,0.035,0.945,0.02,0.0,12
12,0.05,0.005,0.275,0.555,0.115,13
13,0.0,0.0,0.02,0.805,0.175,14
14,0.005,0.005,0.065,0.81,0.115,15
15,0.005,0.0,0.065,0.845,0.085,16
16,0.065,0.095,0.82,0.015,0.005,17
17,0.005,0.0,0.045,0.805,0.145,18
18,0.0,0.025,0.965,0.01,0.0,19
19,0.005,0.005,0.045,0.54,0.405,20
20,0.0,0.0,0.015,0.76,0.225,21
21,0.005,0.0,0.015,0.81,0.17,22
22,0.0,0.02,0.74,0.23,0.01,23
23,0.06,0.005,0.32,0.445,0.17,24
24,0.0,0.92,0.08,0.0,0.0,25
25,0.0,0.04,0.96,0.0,0.0,26
26,0.0,0.85,0.15,0.0,0.0,27
27,0.0,0.0,0.03,0.805,0.165,28
28,0.0,0.0,0.035,0.855,0.11,29
29,0.01,0.27,0.7,0.02,0.0,30
30,0.0,0.0,0.015,0.815,0.17,31
31,0.005,0.0,0.065,0.78,0.15,32
32,0.0,0.18,0.815,0.005,0.0,33
33,0.01,0.005,0.05,0.835,0.1,34
34,0.0,0.0,0.97,0.02,0.01,35
35,0.0,0.0,0.01,0.91,0.08,36
36,0.0,0.0,0.025,0.895,0.08,37
37,0.0,0.0,0.015,0.81,0.175,38
38,0.005,0.16,0.83,0.005,0.0,39
39,0.0,0.015,0.96,0.02,0.005,40
40,0.005,0.035,0.94,0.015,0.005,41
41,0.0,0.0,0.065,0.74,0.195,42
42,0.01,0.675,0.315,0.0,0.0,43
43,0.015,0.0,0.115,0.78,0.09,44
44,0.005,0.095,0.895,0.005,0.0,45
45,0.0,0.0,0.015,0.865,0.12,46
46,0.015,0.0,0.265,0.545,0.175,47
47,0.0,0.0,0.03,0.92,0.05,48
48,0.005,0.0,0.065,0.79,0.14,49
49,0.005,0.0,0.035,0.735,0.225,50
50,0.04,0.01,0.37,0.4,0.18,51
51,0.015,0.005,0.055,0.535,0.39,52
52,0.0,0.295,0.695,0.01,0.0,53
53,0.04,0.0,0.195,0.48,0.285,54
54,0.0,0.0,0.025,0.83,0.145,55
55,0.005,0.675,0.32,0.0,0.0,56
56,0.005,0.0,0.115,0.58,0.3,57
57,0.0,0.065,0.77,0.16,0.005,58
58,0.135,0.05,0.515,0.23,0.07,59
59,0.0,0.005,0.01,0.845,0.14,60
60,0.01,0.025,0.95,0.015,0.0,61
61,0.0,0.03,0.915,0.05,0.005,62
62,0.0,0.16,0.82,0.02,0.0,63
63,0.0,0.0,0.015,0.86,0.125,64
64,0.01,0.035,0.925,0.025,0.005,65
65,0.045,0.015,0.385,0.31,0.245,66
66,0.0,0.0,0.025,0.87,0.105,67
67,0.025,0.015,0.875,0.075,0.01,68
68,0.02,0.26,0.65,0.07,0.0,69
69,0.0,0.0,0.01,0.785,0.205,70
70,0.065,0.025,0.315,0.24,0.355,71
71,0.01,0.0,0.035,0.795,0.16,72
72,0.03,0.605,0.35,0.015,0.0,73
73,0.0,0.0,0.015,0.755,0.23,74
74,0.005,0.05,0.94,0.005,0.0,75
75,0.0,0.065,0.775,0.155,0.005,76
76,0.02,0.025,0.9,0.05,0.005,77
77,0.025,0.0,0.195,0.57,0.21,78
78,0.0,0.07,0.76,0.17,0.0,79
79,0.04,0.285,0.59,0.065,0.02,80
80,0.0,0.035,0.925,0.035,0.005,81
81,0.01,0.0,0.065,0.795,0.13,82
82,0.0,0.0,0.02,0.86,0.12,83
83,0.0,0.85,0.15,0.0,0.0,84
84,0.0,0.0,0.91,0.085,0.005,85
85,0.0,0.0,0.015,0.61,0.375,86
86,0.0,0.945,0.05,0.005,0.0,87
87,0.0,0.895,0.105,0.0,0.0,88
88,0.025,0.035,0.895,0.035,0.01,89
89,0.015,0.0,0.245,0.53,0.21,90
90,0.0,0.04,0.885,0.07,0.005,91
91,0.035,0.025,0.875,0.055,0.01,92
92,0.0,0.0,0.04,0.82,0.14,93
93,0.005,0.07,0.895,0.03,0.0,94
94,0.005,0.685,0.31,0.0,0.0,95
95,0.055,0.105,0.56,0.26,0.02,96
96,0.03,0.285,0.67,0.01,0.005,97
97,0.0,0.0,0.025,0.745,0.23,98
98,0.0,0.0,0.065,0.775,0.16,99
99,0.005,0.05,0.8,0.14,0.005,100
100,0.0,0.005,0.065,0.74,0.19,101
101,0.01,0.0,0.05,0.6,0.34,102
102,0.0,0.0,0.015,0.79,0.195,103
103,0.0,0.005,0.01,0.775,0.21,104
104,0.005,0.005,0.005,0.505,0.48,105
105,0.0,0.01,0.92,0.065,0.005,106
106,0.005,0.07,0.175,0.455,0.295,107
107,0.0,0.0,0.02,0.735,0.245,108
108,0.02,0.005,0.225,0.645,0.105,109
109,0.015,0.005,0.04,0.54,0.4,110
110,0.0,0.0,0.005,0.765,0.23,111
111,0.0,0.0,0.08,0.74,0.18,112
112,0.065,0.005,0.325,0.345,0.26,113
113,0.105,0.005,0.335,0.355,0.2,114
114,0.01,0.0,0.08,0.82,0.09,115
115,0.01,0.0,0.09,0.795,0.105,116
116,0.025,0.025,0.7,0.235,0.015,117
117,0.02,0.0,0.16,0.52,0.3,118
118,0.005,0.015,0.025,0.69,0.265,119
119,0.035,0.0,0.34,0.48,0.145,120
120,0.0,0.0,0.02,0.895,0.085,121
121,0.0,0.835,0.165,0.0,0.0,122
122,0.0,0.005,0.025,0.705,0.265,123
123,0.0,0.84,0.16,0.0,0.0,124
124,0.03,0.025,0.275,0.41,0.26,125
125,0.02,0.005,0.195,0.655,0.125,126
126,0.01,0.0,0.135,0.68,0.175,127
127,0.005,0.0,0.04,0.59,0.365,128
128,0.0,0.0,0.01,0.78,0.21,129
129,0.0,0.0,0.05,0.765,0.185,130
130,0.01,0.0,0.07,0.545,0.375,131
131,0.0,0.905,0.095,0.0,0.0,132
132,0.015,0.805,0.14,0.025,0.015,133
133,0.025,0.015,0.19,0.585,0.185,134
134,0.005,0.535,0.445,0.015,0.0,135
135,0.005,0.01,0.16,0.68,0.145,136
136,0.005,0.9,0.095,0.0,0.0,137
137,0.005,0.165,0.82,0.01,0.0,138
138,0.025,0.005,0.335,0.45,0.185,139
139,0.0,0.915,0.085,0.0,0.0,140
140,0.005,0.01,0.065,0.785,0.135,141
141,0.015,0.0,0.105,0.705,0.175,142
142,0.0,0.01,0.185,0.73,0.075,143
143,0.02,0.73,0.215,0.025,0.01,144
144,0.02,0.325,0.64,0.015,0.0,145
145,0.0,0.055,0.93,0.015,0.0,146
146,0.05,0.005,0.385,0.37,0.19,147
147,0.075,0.69,0.195,0.0,0.04,148
148,0.0,0.84,0.16,0.0,0.0,149
149,0.02,0.0,0.31,0.56,0.11,150
150,0.07,0.01,0.9,0.02,0.0,151
151,0.0,0.01,0.1,0.845,0.045,152
152,0.005,0.03,0.11,0.78,0.075,153
153,0.005,0.015,0.14,0.745,0.095,154
154,0.005,0.035,0.96,0.0,0.0,155
155,0.005,0.045,0.215,0.555,0.18,156
156,0.0,0.045,0.8,0.155,0.0,157
157,0.005,0.015,0.125,0.75,0.105,158
158,0.02,0.045,0.905,0.02,0.01,159
159,0.0,0.025,0.94,0.035,0.0,160
160,0.005,0.02,0.11,0.605,0.26,161
161,0.035,0.15,0.57,0.19,0.055,162
162,0.005,0.93,0.065,0.0,0.0,163
163,0.06,0.025,0.29,0.42,0.205,164
164,0.05,0.205,0.31,0.38,0.055,165
165,0.1,0.175,0.62,0.015,0.09,166
166,0.0,0.015,0.16,0.775,0.05,167
167,0.0,0.045,0.785,0.17,0.0,168
168,0.005,0.025,0.09,0.755,0.125,169
169,0.0,0.12,0.74,0.14,0.0,170
170,0.0,0.135,0.86,0.005,0.0,171
171,0.015,0.005,0.06,0.565,0.355,172
172,0.005,0.005,0.095,0.69,0.205,173
173,0.0,0.15,0.845,0.005,0.0,174
174,0.005,0.9,0.095,0.0,0.0,175
175,0.0,0.01,0.13,0.77,0.09,176
176,0.005,0.0,0.025,0.84,0.13,177
177,0.025,0.035,0.435,0.385,0.12,178
178,0.025,0.055,0.89,0.025,0.005,179
179,0.0,0.005,0.215,0.71,0.07,180
180,0.0,0.06,0.765,0.175,0.0,181
181,0.0,0.905,0.095,0.0,0.0,182
182,0.0,0.005,0.13,0.79,0.075,183
183,0.005,0.005,0.025,0.83,0.135,184
184,0.015,0.015,0.205,0.495,0.27,185
185,0.0,0.065,0.075,0.82,0.04,186
186,0.02,0.005,0.255,0.465,0.255,187
187,0.005,0.0,0.03,0.8,0.165,188
188,0.135,0.05,0.66,0.125,0.03,189
189,0.025,0.03,0.125,0.62,0.2,190
190,0.025,0.015,0.065,0.695,0.2,191
191,0.205,0.11,0.495,0.115,0.075,192
192,0.0,0.73,0.27,0.0,0.0,193
193,0.025,0.72,0.235,0.02,0.0,194
194,0.01,0.0,0.025,0.885,0.08,195
195,0.005,0.855,0.14,0.0,0.0,196
196,0.0,0.17,0.82,0.01,0.0,197
197,0.015,0.015,0.095,0.485,0.39,198
198,0.0,0.04,0.805,0.15,0.005,199
199,0.0,0.005,0.09,0.62,0.285,200
200,0.0,0.775,0.225,0.0,0.0,201
201,0.055,0.035,0.33,0.39,0.19,202
202,0.025,0.59,0.385,0.0,0.0,203
203,0.0,0.185,0.795,0.02,0.0,204
204,0.0,0.85,0.15,0.0,0.0,205
205,0.005,0.005,0.155,0.71,0.125,206
206,0.0,0.77,0.23,0.0,0.0,207
207,0.0,0.805,0.195,0.0,0.0,208
208,0.02,0.295,0.57,0.105,0.01,209
209,0.0,0.04,0.96,0.0,0.0,210
210,0.01,0.01,0.03,0.545,0.405,211
211,0.015,0.005,0.255,0.685,0.04,212
212,0.0,0.11,0.88,0.01,0.0,213
213,0.02,0.005,0.185,0.515,0.275,214
214,0.0,0.03,0.11,0.49,0.37,215
215,0.005,0.78,0.2,0.015,0.0,216
216,0.005,0.0,0.065,0.63,0.3,217
217,0.145,0.21,0.355,0.16,0.13,218
218,0.11,0.065,0.495,0.285,0.045,219
219,0.005,0.025,0.13,0.745,0.095,220
220,0.125,0.085,0.585,0.175,0.03,221
221,0.0,0.02,0.975,0.005,0.0,222
222,0.0,0.205,0.755,0.04,0.0,223
223,0.015,0.485,0.45,0.05,0.0,224
224,0.005,0.84,0.115,0.035,0.005,225
225,0.005,0.745,0.25,0.0,0.0,226
226,0.0,0.045,0.715,0.225,0.015,227
227,0.01,0.745,0.19,0.005,0.05,228
228,0.01,0.19,0.78,0.02,0.0,229
229,0.005,0.01,0.035,0.67,0.28,230
230,0.04,0.09,0.835,0.035,0.0,231
231,0.025,0.015,0.15,0.645,0.165,232
232,0.035,0.375,0.555,0.035,0.0,233
233,0.04,0.05,0.205,0.35,0.355,234
234,0.0,0.205,0.79,0.005,0.0,235
235,0.0,0.885,0.115,0.0,0.0,236
236,0.03,0.1,0.625,0.245,0.0,237
