Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Genename	ENSEMBL
P24549	0.11689752800825863	0.10742880290507772	0.12636625311143954	13.670925736698296	24.27204962285932	4.491859575881907e-80	7.020776517103421e-77	171.89430640092985	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	ENSMUSG00000053279
P11725	-0.07496214936692877	-0.08142015477646652	-0.06850414395739102	13.525410727184921	-22.821083404403595	6.3679185705676325e-74	4.9765283628986045e-71	157.79766510956583	Otc	ornithine transcarbamylase	ENSMUSG00000031173
P56395	0.09474283917511983	0.08613523343435034	0.10335044491588932	14.406793824675967	21.639970323050598	7.151032188552816e-69	3.725687770236017e-66	146.22289128012545	Cyb5a	cytochrome b5 type A (microsomal)	ENSMUSG00000024646
P10649	0.09509225129192268	0.0858943353372098	0.10429016724663556	14.89891349776427	20.32583167193127	3.1845124155996065e-63	1.2443482263955463e-60	133.2759611603964	Gstm1	glutathione S-transferase, mu 1	ENSMUSG00000058135
Q921H8	0.08896253492250532	0.08028757407183418	0.09763749577317646	12.71674652364045	20.16193721483545	1.6172423540380163e-62	5.055499598722839e-60	131.65837647543083	Acaa1a	acetyl-Coenzyme A acyltransferase 1A	ENSMUSG00000036138
Q8K154	0.07407740759821287	0.066820672560051	0.08133414263637473	12.925518901465411	20.069527200870716	4.043492406370572e-62	1.0533297718595342e-59	130.74617678931108	Ugt2b34	UDP glucuronosyltransferase 2 family, polypeptide B34	ENSMUSG00000029260
Q8VCH0	0.14007962507665173	0.126077577888557	0.15408167226474645	12.098364521272133	19.66934802221103	3.1470001939849337e-60	7.026801861712073e-58	126.41608414644357	Acaa1b	acetyl-Coenzyme A acyltransferase 1B	ENSMUSG00000010651
P37040	0.07393890112233471	0.06647411503070032	0.08140368721396911	12.461308963473984	19.473690204159446	1.490443598257258e-59	2.911954180095118e-57	124.86348766795749	Por	cytochrome p450 oxidoreductase	ENSMUSG00000005514
P16460	-0.11409149355787598	-0.12598560376803625	-0.10219738334771573	14.193066916215095	-18.85879498712279	6.622658348676362e-57	1.1501349998867949e-54	118.79491943342519	Ass1	argininosuccinate synthetase 1	ENSMUSG00000076441
Q64442	0.054293553437259376	0.04853851322063943	0.06004859365387932	13.070205436674229	18.547805621907152	1.4418501661086494e-55	2.2536118096278193e-53	115.72857290319845	Sord	sorbitol dehydrogenase	ENSMUSG00000027227
P30115	0.07276501118229282	0.06503058104314766	0.08049944132143799	13.201432355754852	18.496387340123462	2.3988694973403773e-55	3.4085754766754634e-53	115.22186566013836	Gsta3	glutathione S-transferase, alpha 3	ENSMUSG00000025934
Q91Y97	-0.05312738345227015	-0.059134661268929314	-0.04712010563561099	14.3601658268644	-17.387347837439112	1.3686955338442662e-50	1.7827259328321566e-48	104.32164998934576	Aldob	aldolase B, fructose-bisphosphate	ENSMUSG00000028307
Q9R0H0	0.04491657776528074	0.039789359078903394	0.05004379645165809	13.12586534021578	17.223342992577678	6.870960276678816e-50	8.261008394191531e-48	102.71595072334617	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	ENSMUSG00000020777
P70694	0.06438920854672348	0.05691628967090499	0.07186212742254196	12.940034030076227	16.940079784017108	1.109577142484184e-48	1.238763624073414e-46	99.94757547273612	Akr1c6	aldo-keto reductase family 1, member C6	ENSMUSG00000021210
Q61176	-0.09477434952830573	-0.10584441434502732	-0.08370428471158413	13.75843460152402	-16.83190537027567	3.204537969595146e-48	3.3391285643181423e-46	98.89216309531785	Arg1	arginase, liver	ENSMUSG00000019987
Q03265	-0.03368877237433924	-0.03768923732608555	-0.02968830742259293	14.256891953474133	-16.556454800205266	4.748300364119518e-47	4.638495918199254e-45	96.20962863739663	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	ENSMUSG00000025428
Q9DBM2	0.04742442218963353	0.04176273299813012	0.05308611138113695	12.535151885945947	16.46829568725234	1.123492530371751e-46	1.0329522499829687e-44	95.35266332146102	Ehhadh	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	ENSMUSG00000022853
Q8VC30	-0.03850367553653814	-0.043175376849782635	-0.03383197422329365	12.250951189791296	-16.203907410316265	1.47961385504424e-45	1.2847980307967483e-43	92.78764884351035	Tkfc	triokinase, FMN cyclase	ENSMUSG00000034371
A8Y5N4	-0.145130747955439	-0.16272102832042612	-0.1275404675904519	12.787967304239755	-16.22348665628213	3.506924110916223e-45	2.8849065186116084e-43	91.95542604150417	NA	NA	NA
Q64459	0.07968920906362435	0.06995195756972797	0.08942646055752074	12.906434336898565	16.090117270114504	4.7315541401296206e-45	3.697709560511299e-43	91.63179237517913	Cyp3a11	cytochrome P450, family 3, subfamily a, polypeptide 11	ENSMUSG00000056035
P49429	0.056869484197226684	0.04989526406933877	0.0638437043251146	13.256933541482807	16.031705209463496	8.342770127626299e-45	6.20940462356186e-43	91.0690638681281	Hpd	4-hydroxyphenylpyruvic acid dioxygenase	ENSMUSG00000029445
Q922Q1	0.06388583637295582	0.05599556297530527	0.07177610977060636	12.853669877903178	15.918737203888705	2.495481912569504e-44	1.7729264678846065e-42	89.97865856683545	Mtarc2	mitochondrial amidoxime reducing component 2	ENSMUSG00000073481
Q91XD4	-0.06372897956681522	-0.07161221447591061	-0.05584574465771984	11.832528167160802	-15.893830480078483	3.1766863134515314e-44	2.158765525184671e-42	89.73734241970553	Ftcd	formiminotransferase cyclodeaminase	ENSMUSG00000001155
Q9DBG1	0.05374684834818203	0.04708068263673244	0.06041301405963162	12.852043771427388	15.851595356106484	4.782368426970862e-44	3.114517438064774e-42	89.33277650945438	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	ENSMUSG00000026170
P47738	0.0400974903181075	0.03510233685131215	0.045092643784902846	13.826582248712675	15.781961796650624	8.904540591404817e-44	5.567118777746292e-42	88.71118521192781	Aldh2	aldehyde dehydrogenase 2, mitochondrial	ENSMUSG00000029455
P56593	-0.08467562965298843	-0.09527764616100241	-0.07407361314497445	12.47371824386186	-15.70227542695587	1.9256194031108335e-43	1.157593510408551e-41	87.94390583516072	Cyp2a12	cytochrome P450, family 2, subfamily a, polypeptide 12	ENSMUSG00000060407
Q91YI0	-0.06466650112926865	-0.07301189852351547	-0.05632110373502183	13.097077718432313	-15.234386648544971	1.7518336284268509e-41	1.0141170226782103e-39	83.45707631643195	Asl	argininosuccinate lyase	ENSMUSG00000025533
P52430	0.10966078923996937	0.09553134098645154	0.1237902374934872	12.101837260992536	15.26115759904848	3.4459091359379716e-41	1.9235557069539462e-39	82.81677284467233	Pon1	paraoxonase 1	ENSMUSG00000002588
P24456	0.04859037404978141	0.04223423285493456	0.054946515244628256	13.412915430211793	15.029666310708667	1.2475462961828492e-40	6.723844348047563e-39	81.5045525775953	Cyp2d10	cytochrome P450, family 2, subfamily d, polypeptide 10	ENSMUSG00000094806
P35700	0.04265786829544794	0.037034419410570056	0.04828131718032582	14.558026652014068	14.91382453963719	3.777118146192646e-40	1.9678785541663686e-38	80.40280801481654	Prdx1	peroxiredoxin 1	ENSMUSG00000028691
P41216	0.03379784840829592	0.02927854373489389	0.038317153081697954	13.699138151761801	14.703139075765646	2.8157000493906094e-39	1.419657799095975e-37	78.40505828674725	Acsl1	acyl-CoA synthetase long-chain family member 1	ENSMUSG00000018796
Q9QXD6	-0.055070568377807834	-0.06244133026547345	-0.047699806490142216	12.347201880918687	-14.689256332298536	3.2133126926635795e-39	1.569502418322867e-37	78.27370205538367	Fbp1	fructose bisphosphatase 1	ENSMUSG00000069805
Q63886	0.07063387894948572	0.06117580869354068	0.08009194920543077	12.41627404970494	14.683195173839364	4.213038731881598e-39	1.995448344827557e-37	78.01336929736718	Ugt1a1	UDP glucuronosyltransferase 1 family, polypeptide A1	ENSMUSG00000089960
Q8C196	-0.09982756675975644	-0.11322895049166347	-0.08642618302784942	14.535093072988664	-14.645138221314438	4.888298444587764e-39	2.247179549673728e-37	77.85650078780839	Cps1	carbamoyl-phosphate synthetase 1	ENSMUSG00000025991
P58710	0.1503760304796741	0.12943942136685105	0.17131263959249715	13.0553453662316	14.124096986618946	1.886346838797329e-36	8.423886025829215e-35	71.98771800210956	Gulo	gulonolactone (L-) oxidase	ENSMUSG00000034450
Q9D379	0.04552950165745073	0.039046928210494894	0.05201207510440657	13.412092589217394	13.808232245920896	1.3001496995182268e-35	5.644816612074968e-34	70.01619203691828	Ephx1	epoxide hydrolase 1, microsomal	ENSMUSG00000038776
P50172	-0.07726973724888803	-0.0883520222068345	-0.06618745229094156	13.213986505633825	-13.708066501968185	3.423373960709551e-35	1.4461441893483859e-33	69.05453131590463	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	ENSMUSG00000016194
P56480	-0.03385049854739258	-0.0387798152512854	-0.02892118184349977	13.7332495751514	-13.501156749186144	2.259731500049397e-34	9.294632459413704e-33	67.17826422588166	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit	ENSMUSG00000025393
Q8R5I6	0.09341961248089942	0.07978544059636189	0.10705378436543694	14.146791683135177	13.47106491210593	2.9857447386226355e-34	1.1965946221710717e-32	66.90138970867059	Gstm4	glutathione S-transferase, mu 4	ENSMUSG00000027890
P33267	-0.17837704049014158	-0.20417830317970911	-0.15257577780057405	13.433570580453033	-13.596890932182188	3.820453845609735e-34	1.4928423401720041e-32	66.71988071108039	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	ENSMUSG00000052974
Q91XE8	0.05966205956283316	0.050661888090793895	0.06866223103487243	13.348860154792943	13.033182810535285	1.8318424024970567e-32	6.983340670982683e-31	62.81621742343664	Tmem205	transmembrane protein 205	ENSMUSG00000040883
