Protein,cluster_anchorprotein,int_mean,Symbol,Genename,ENSEMBL
A0A075B6A3,1,1848.7979017179787,NA,NA,NA
A0A087WR50,1,3336.691931069887,Fn1,fibronectin 1,ENSMUSG00000026193
A0A087WSP5,1,2502.35735098432,Stat1,signal transducer and activator of transcription 1,ENSMUSG00000026104
A0A0A6YVS2,1,1898.1240337774634,NA,NA,NA
A0A0A6YW80,1,5719.767224349213,NA,NA,NA
A0A0J9YU79,1,2558.886998025003,Khk,ketohexokinase,ENSMUSG00000029162
A0A0J9YUI8,1,2594.7129276319,NA,NA,NA
A0A0R4IZY2,1,10506.384249067596,Cyp2d26,"cytochrome P450, family 2, subfamily d, polypeptide 26",ENSMUSG00000022445
A0A0R4J034,1,1050.3372612631297,Pdxdc1,pyridoxal-dependent decarboxylase domain containing 1,ENSMUSG00000022680
A0A0R4J050,1,3648.8363340324345,Acy1,aminoacylase 1,ENSMUSG00000023262
A0A0R4J083,1,6578.4090353390375,Acadl,"acyl-Coenzyme A dehydrogenase, long-chain",ENSMUSG00000026003
A0A0R4J0B4,1,1706.158704205398,Cmas,cytidine monophospho-N-acetylneuraminic acid synthetase,ENSMUSG00000030282
A0A0R4J0I1,1,3458.941704697777,Serpina3k,"serine (or cysteine) peptidase inhibitor, clade A, member 3K",ENSMUSG00000058207
A0A0R4J135,1,10885.619222596892,Selenbp2,selenium binding protein 2,ENSMUSG00000068877
A0A0R4J140,1,3224.4248051533095,Cluh,clustered mitochondria (cluA/CLU1) homolog,ENSMUSG00000020741
A0A0R4J1E2,1,5243.513116888094,Eef1d,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),ENSMUSG00000055762
A0A0R4J1H2,1,1623.1958431762234,Glyctk,glycerate kinase,ENSMUSG00000020258
A0A0R4J1T1,1,1816.5880673881052,NA,NA,NA
A0A0R4J1V0,1,2519.157993859646,Pdzk1,PDZ domain containing 1,ENSMUSG00000038298
A0A0R4J293,1,786.0736645928016,Tgm1,"transglutaminase 1, K polypeptide",ENSMUSG00000022218
A0A0R4J2D3,1,2646.9759107920904,NA,NA,NA
A0A0U1RP81,1,1756.5202074004073,NA,NA,NA
A0A1L1SUI3,1,3664.4549301925417,NA,NA,NA
A0A286YCV9,1,2068.8569961373582,Kif13b,kinesin family member 13B,ENSMUSG00000060012
A0A3B2WBL1,1,4782.911595756895,NA,NA,NA
A0A5F8MPT6,1,3762.986363062074,NA,NA,NA
A0JNY3,1,2060.8219040345903,Gphn,gephyrin,ENSMUSG00000047454
A2A5R8,1,1409.165611590874,Stau1,staufen double-stranded RNA binding protein 1,ENSMUSG00000039536
A2A7S7,1,2578.3533806706628,Yars,tyrosyl-tRNA synthetase,ENSMUSG00000028811
A2ADY9,1,2030.2922539326055,Ddi2,DNA-damage inducible protein 2,ENSMUSG00000078515
A2AFQ2,1,3334.5463916133504,NA,NA,NA
A2AJL3,1,2186.912736549157,Fggy,FGGY carbohydrate kinase domain containing,ENSMUSG00000028573
