Protein ID,Gene name,Hep G2,HepA,LX2,Liver,PorV,hHEP,hHSC,hHSC TWNT4,hKC,hLSEC,hLSEC SK Hep1,Protein name
Q9HC44,GPBP1L1,,,,,,2025700,,,,,,Vasculin-like protein 1
I3L2K7,NAA60,,,,,,2404200,,,,,,N-alpha-acetyltransferase 60
A0A0B4J2D5,C21orf33,,,,,,2590600,,,,,,"ES1 protein homolog, mitochondrial"
Q14515,SPARCL1,10222000,2200750000,38141000,24441500,857880000,3408400,11669750,21201000,27284000,25894000,8577400,SPARC-like protein 1
Q8TED9,AFAP1L1,5334000,,3212100,3974900,7122150,3505600,6425500,4180700,10152000,874240000,7157000,Actin filament-associated protein 1-like 1
A0A087X0Q5,CLEC18B,3551200,79654000,,6293100,,3908300,,,,,,C-type lectin domain family 18 member C
P09769,FGR,6012100,30516500,7393200,12322500,15208000,4150500,10524550,,1711100000,7509000,970870,Tyrosine-protein kinase Fgr
A0A0A0MSP3,PDLIM5,,,,,,4411300,,,,,,
Q8N2R8,FAM43A,5852700,,,2652600,,4650500,,,,81813100,,Protein FAM43A
O75635-2,SERPINB7,,,3569900,,,4655300,70968500,,,32519000,,Serpin B7
O94875-7,SORBS2,,1137700000,,4875050,762140000,5433400,5867650,,,27200000,,Sorbin and SH3 domain-containing protein 2
Q70E73-7,RAPH1,,,,,,5669000,,,,,,Ras-associated and pleckstrin homology domains-containing protein 1
A0A0U1RQC9,TP53,3390300,,4051800000,5340200,8568800,5708550,5825500,20126000,2599900,7693200,16045000,Cellular tumor antigen p53
H0Y5B0,EPB41L2,13889000,12683000,29207000,8097500,15530000,6020600,30730000,50995000,,221130000,6814700,
A0A087WXK2,PEG10,5649100000,8652100,94516000,5021200,6623300,6348550,4728600,3758300,1723600,4687800,17286000,Retrotransposon-derived protein PEG10
Q8NI99,ANGPTL6,16619000,5261200,14211000,2350090000,5569050,6353600,8605000,14023000,14684000,14242800,46388000,Angiopoietin-related protein 6
O60637-3,TSPAN3,,10651800,,6137200,,6590400,352240000,,14476000,1068400000,,Tetraspanin-3
Q5JTB4,PLAC9,,179875000,16769000,115168500,140230000,6654100,32755000,19469000,61357500,16674000,,Placenta-specific protein 9
Q9NR00,C8orf4,,,,,,6846500,,,,,,Uncharacterized protein C8orf4
Q3MIP1,ITPRIPL2,,,,,,6847300,141120000,16709000,,83047000,11039000,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2"
D3DX19,CLDN5,,12759500,,24889500,17849000,6979300,12033000,7104800,17712500,1287200000,,Claudin
P80748,P80748,,960810000,,239130000,1096475000,7036500,4941800,15507000,11156800,13558000,,Ig lambda chain V-III region LOI
Q9GZU2-4,PEG3,7775400000,9121600,23606000,18937000,12915000,7040900,20897000,12518000,8883000,12712000,18345000,Paternally-expressed gene 3 protein
Q9BSK2,SLC25A33,54782000,,,13948000,,7087900,,5561600,,,,Solute carrier family 25 member 33
P02795,MT2A,479480000,390620000,405490000,1277300000,,7095400,152440000,89957000,,71982000,4833400000,Metallothionein-2
Q96PD2,DCBLD2,25647000,19145500,78718000,10200400,20752500,7498600,1043000000,38266000,10840500,370680000,787430000,"Discoidin, CUB and LCCL domain-containing protein 2"
Q96QH2,PRAM1,3957600,15991000,4367100,7497250,9713900,7537000,2861100,9827100,1626500000,3508200,3492800,PML-RARA-regulated adapter molecule 1
A0A0A0MS24,PPP1R12B,20440000,2050500000,94766000,127130000,2447000000,7591100,124760000,37235000,70078000,38591000,35473000,Protein phosphatase 1 regulatory subunit 12B
Q6UXB8,PI16,7621100,34687000,14345000,15029500,362645000,7649800,33885000,,29066000,24129500,9428700,Peptidase inhibitor 16
Q9H190,SDCBP2,,,,22264000,,7779600,,,,,,Syntenin-2
Q86YD1,PTOV1,451580000,,14635000,23271000,,7786000,19465000,15835000,,,8508500,Prostate tumor-overexpressed gene 1 protein
Q6PUV4,CPLX2,409370000,18113000,14224000,15313000,,7993600,,,,,12060000,Complexin-2
Q16581,C3AR1,15685000,31762000,,17732500,28519000,8172700,,10116000,91266000,,,C3a anaphylatoxin chemotactic receptor
P34096,RNASE4,38677000,252445000,23000000,39906000,87685500,8211300,17826000,15102000,,50152000,21182000,Ribonuclease 4
Q9HCN3,TMEM8A,,11666000,,,,8435200,35111000,,,58250000,10259000,Transmembrane protein 8A
Q8WVF5,KCTD4,17264000,20957000,13075000,12600000,19203000,8506100,9691400,22449000,8418700,20754000,1434100000,BTB/POZ domain-containing protein KCTD4
Q9BRR9-4,ARHGAP9,42319000,47029500,27936000,98180500,54696000,8563300,15369500,29532000,766650000,18249000,20439000,Rho GTPase-activating protein 9
Q8WVE0,N6AMT2,,,,,,8592800,,,,,,Protein-lysine N-methyltransferase N6AMT2
Q6ZN04,MEX3B,,,,,,8649000,,,,,,RNA-binding protein MEX3B
