"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Human GeneID","Human Species Gene ID","Human Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","A0JNU3","104816","2144822","Aspg","Human","374569","20123","ASPG","ENSG00000166183","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ASPG)    DRscDB Data: (ASPG)                             Human Protein Atlas  (HPA)"
"2","A2A5R2","99371","2139354","Arfgef2","Human","10564","15853","ARFGEF2","ENSG00000124198","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (ARFGEF2)    DRscDB Data: (ARFGEF2)                             Human Protein Atlas  (HPA)"
"3","A2A8L5","19268","102695","Ptprf","Human","5792","9670","PTPRF","ENSG00000142949","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PTPRF)    DRscDB Data: (PTPRF)                             Human Protein Atlas  (HPA)"
"4","A2A974","13118","3611747","Cyp4a12b","Human","284541","20575","CYP4A22","ENSG00000162365","14","14.34","moderate","Yes","No","eggNOG, HGNC, Homologene, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (CYP4A22)    DRscDB Data: (CYP4A22)                             Human Protein Atlas  (HPA)"
"5","A2AAJ9","380698","2681862","Obscn","Human","84033","15719","OBSCN","ENSG00000154358","18","18.2","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (OBSCN)    DRscDB Data: (OBSCN)                             Human Protein Atlas  (HPA)"
"6","A2ADY9","68817","1917244","Ddi2","Human","84301","24578","DDI2","ENSG00000197312","16","16.36","high","Yes","Yes","eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (DDI2)    DRscDB Data: (DDI2)                             Human Protein Atlas  (HPA)"
"7","A2AJL3","75578","1922828","Fggy","Human","55277","25610","FGGY","ENSG00000172456","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (FGGY)    DRscDB Data: (FGGY)                             Human Protein Atlas  (HPA)"
"8","A2AKK5","230161","2140197","Acnat1","Human","122970","19748","ACOT4","ENSG00000177465","6","5.85","moderate","Yes","No","eggNOG, OMA, OrthoFinder, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ACOT4)    DRscDB Data: (ACOT4)                             Human Protein Atlas  (HPA)"
"8","A2AKK5","230161","2140197","Acnat1","Human","10965","18431","ACOT2","ENSG00000119673","6","5.72","moderate","Yes","No","eggNOG, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid","","Add","G2F details (ACOT2)    DRscDB Data: (ACOT2)                             Human Protein Atlas  (HPA)"
"8","A2AKK5","230161","2140197","Acnat1","Human","570","932","BAAT","ENSG00000136881","6","5.72","moderate","Yes","No","eggNOG, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid","","Add","G2F details (BAAT)    DRscDB Data: (BAAT)                             Human Protein Atlas  (HPA)"
