Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin 	1:Experimental evidence at protein level	1.0000	0.9990	10	7	10	535	461	535	     0	     0	     0	10K(28.0313), 17M(15.9949), 18K(28.0313), 20K(28.0313), 2K(28.0313), 37M(15.9949), 40K(28.0313), 7M(15.9949), 8K(28.0313), N-term(28.0313)		
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	73	72	73	     0	     0	     0	15K(28.0313), 1K(28.0313), 3K(28.0313), 4K(28.0313), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|A0JNU3|LPP60_MOUSE	A0JNU3	LPP60_MOUSE	Aspg	564	Mus musculus OX=10090	60 kDa lysophospholipase 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	23	16	23	     0	     0	     0	17K(28.0313), N-term(28.0313)		
sp|A2A5R2|BIG2_MOUSE	A2A5R2	BIG2_MOUSE	Arfgef2	1792	Mus musculus OX=10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	6	8	21	19	21	     0	     0	     0	10M(15.9949), 11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|A2A8L5|PTPRF_MOUSE	A2A8L5	PTPRF_MOUSE	Ptprf	1898	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase F 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	15	7	15	     0	     0	     0	12K(28.0313), 14K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|A2A974|CP4CB_MOUSE	A2A974	CP4CB_MOUSE	Cyp4a12b	508	Mus musculus OX=10090	Cytochrome P450 4A12B 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	15	15	15	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|A2AAJ9|OBSCN_MOUSE	A2AAJ9	OBSCN_MOUSE	Obscn	8886	Mus musculus OX=10090	Obscurin 	1:Experimental evidence at protein level	1.0000	0.9978	2	0	2	4	0	4	     0	     0	     0	N-term(28.0313)		tr|H7BX05|H7BX05_MOUSE
sp|A2ADY9|DDI2_MOUSE	A2ADY9	DDI2_MOUSE	Ddi2	399	Mus musculus OX=10090	Protein DDI1 homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	52	52	52	     0	     0	     0	11M(15.9949), 14K(28.0313), 15K(28.0313), 19K(28.0313), 2M(15.9949), N-term(28.0313)		
sp|A2AJL3|FGGY_MOUSE	A2AJL3	FGGY_MOUSE	Fggy	552	Mus musculus OX=10090	FGGY carbohydrate kinase domain-containing protein 	1:Experimental evidence at protein level	1.0000	0.9990	12	2	12	73	15	73	     0	     0	     0	12K(28.0313), 14K(28.0313), 18K(28.0313), 1M(15.9949), 5M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|A2AKK5|ACNT1_MOUSE	A2AKK5	ACNT1_MOUSE	Acnat1	416	Mus musculus OX=10090	Acyl-coenzyme A amino acid N-acyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	8	37	13	37	     0	     0	     0	11K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 21K(28.0313), N-term(28.0313)		
sp|A2ALW5|DJC25_MOUSE	A2ALW5	DJC25_MOUSE	Dnajc25	357	Mus musculus OX=10090	DnaJ homolog subfamily C member 25 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	10	10	10	     0	     0	     0	12K(28.0313), 14K(28.0313), N-term(28.0313)		
