Gene names,m1_1_LFQ,m2_1_LFQ,m3_1_LFQ,m4_1_LFQ,m5_1_LFQ,m1_2_LFQ,m2_2_LFQ,m3_2_LFQ,m4_2_LFQ,m5_2_LFQ,m1_3_LFQ,m2_3_LFQ,m3_3_LFQ,m4_3_LFQ,m5_3_LFQ,m1_4_LFQ,m2_4_LFQ,m3_4_LFQ,m4_4_LFQ,m5_4_LFQ,m1_5_LFQ,m2_5_LFQ,m3_5_LFQ,m4_5_LFQ,m5_5_LFQ,m1_6_LFQ,m2_6_LFQ,m3_6_LFQ,m4_6_LFQ,m5_6_LFQ,m1_7_LFQ,m2_7_LFQ,m3_7_LFQ,m4_7_LFQ,m5_7_LFQ,m1_8_LFQ,m2_8_LFQ,m3_8_LFQ,m4_8_LFQ,m5_8_LFQ,Q-value,Score,Sequence coverage [%],Razor + unique peptides,MS/MS Count,Razor + unique peptides m1_1,Razor + unique peptides m2_1,Razor + unique peptides m3_1,Razor + unique peptides m4_1,Razor + unique peptides m5_1,Razor + unique peptides m1_2,Razor + unique peptides m2_2,Razor + unique peptides m3_2,Razor + unique peptides m4_2,Razor + unique peptides m5_2,Razor + unique peptides m1_3,Razor + unique peptides m2_3,Razor + unique peptides m3_3,Razor + unique peptides m4_3,Razor + unique peptides m5_3,Razor + unique peptides m1_4,Razor + unique peptides m2_4,Razor + unique peptides m3_4,Razor + unique peptides m4_4,Razor + unique peptides m5_4,Razor + unique peptides m1_5,Razor + unique peptides m2_5,Razor + unique peptides m3_5,Razor + unique peptides m4_5,Razor + unique peptides m5_5,Razor + unique peptides m1_6,Razor + unique peptides m2_6,Razor + unique peptides m3_6,Razor + unique peptides m4_6,Razor + unique peptides m5_6,Razor + unique peptides m1_7,Razor + unique peptides m2_7,Razor + unique peptides m3_7,Razor + unique peptides m4_7,Razor + unique peptides m5_7,Razor + unique peptides m1_8,Razor + unique peptides m2_8,Razor + unique peptides m3_8,Razor + unique peptides m4_8,Razor + unique peptides m5_8,MS/MS Count m1_1,MS/MS Count m2_1,MS/MS Count m3_1,MS/MS Count m4_1,MS/MS Count m5_1,MS/MS Count m1_2,MS/MS Count m2_2,MS/MS Count m3_2,MS/MS Count m4_2,MS/MS Count m5_2,MS/MS Count m1_3,MS/MS Count m2_3,MS/MS Count m3_3,MS/MS Count m4_3,MS/MS Count m5_3,MS/MS Count m1_4,MS/MS Count m2_4,MS/MS Count m3_4,MS/MS Count m4_4,MS/MS Count m5_4,MS/MS Count m1_5,MS/MS Count m2_5,MS/MS Count m3_5,MS/MS Count m4_5,MS/MS Count m5_5,MS/MS Count m1_6,MS/MS Count m2_6,MS/MS Count m3_6,MS/MS Count m4_6,MS/MS Count m5_6,MS/MS Count m1_7,MS/MS Count m2_7,MS/MS Count m3_7,MS/MS Count m4_7,MS/MS Count m5_7,MS/MS Count m1_8,MS/MS Count m2_8,MS/MS Count m3_8,MS/MS Count m4_8,MS/MS Count m5_8,Protein IDs,Majority protein IDs,Protein names,Gene names,GOBP slim name,GOCC slim name,KEGG name,Fasta headers,,,,,,,,,,,,,,,,,,,,
0610011F06Rik,30.09723,30.07074,30.50446,29.08101,29.98997,29.92959,30.01983,30.40213,29.24656,29.67912,29.50047,29.97596,30.51202,29.80224,29.62854,29.83965,29.67743,30.40355,29.61432,30.00838,29.22009,28.73928,30.05064,29.30498,29.79099,29.23091,29.41183,29.91684,29.6638,29.93902,29.60723,29.83759,30.12891,29.50141,29.86053,28.97126,30.02512,30.17236,29.55118,30.0427,0,310.64,65.7,11,789,10,10,11,10,10,11,8,11,8,10,10,10,11,11,11,10,10,11,10,10,9,8,11,9,10,9,11,10,10,9,9,11,11,10,10,4,10,6,10,10,22,22,27,17,19,20,15,25,17,16,24,25,27,22,19,17,21,28,20,22,15,8,25,14,17,13,22,21,19,18,18,23,29,18,22,6,28,19,15,14,Q9DCS2;G5E8X1;E9Q7K5;E9Q5B2;D3YZM4,Q9DCS2;G5E8X1;E9Q7K5;E9Q5B2,UPF0585 protein C16orf13 homolog,0610011F06Rik,,,,>sp|Q9DCS2|MTL26_MOUSE Methyltransferase-like 26 OS=Mus musculus GN=Mettl26 PE=1 SV=1;>tr|G5E8X1|G5E8X1_MOUSE Methyltransferase-like 26 OS=Mus musculus GN=Mettl26 PE=1 SV=1;>tr|E9Q7K5|E9Q7K5_MOUSE Methyltransferase-like 26 OS=Mus musculus GN=Mettl26 PE=1 S,,,,,,,,,,,,,,,,,,,,
0610031J06Rik,18,18,18,18,18,18,25.34147,18,25.77929,23.91944,18,18,18,18,18,18,25.26682,18,18,18,18,25.74556,24.53807,18,18,18,18,18,25.38818,23.99144,18,24.68801,24.23549,18,18,18,24.32992,24.51382,24.52091,18,0,4.4405,6.3,1,10,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,2,1,0,H3BKY1;H9H9R4;Q9JHJ3,H3BKY1;H9H9R4;Q9JHJ3,Lysosomal protein NCU-G1,0610031J06Rik,biological regulation,cell part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;lysosome;membrane;nucleus;organelle;vacuole,,>tr|H3BKY1|H3BKY1_MOUSE Glycosylated lysosomal membrane protein OS=Mus musculus GN=Glmp PE=1 SV=1;>tr|H9H9R4|H9H9R4_MOUSE Glycosylated lysosomal membrane protein OS=Mus musculus GN=Glmp PE=1 SV=1;>sp|Q9JHJ3|GLMP_MOUSE Glycosylated lysosomal membrane protei,,,,,,,,,,,,,,,,,,,,
0610037L13Rik,24.59963,24.48696,24.79442,18,25.07402,18,25.16488,24.57115,25.50661,24.61459,24.82517,24.95069,24.28743,24.4622,24.75124,24.56831,24.78457,25.6144,24.58503,24.87084,24.2717,25.22104,25.01975,24.87465,24.96102,25.0017,25.36172,24.47401,24.53854,25.21649,25.00367,24.57554,25.38057,24.65873,24.97871,25.20348,24.8753,18,25.43317,24.75185,0,4.3107,29.7,3,20,2,1,1,0,1,0,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,0,2,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,A2A8E2;Q8BHG2;A2A8E4;B7ZC72;B7ZC71;D6REH4,A2A8E2;Q8BHG2;A2A8E4;B7ZC72;B7ZC71,UPF0587 protein C1orf123 homolog,0610037L13Rik,,,,>tr|A2A8E2|A2A8E2_MOUSE RIKEN cDNA 0610037L13 gene OS=Mus musculus GN=0610037L13Rik PE=1 SV=1;>sp|Q8BHG2|CA123_MOUSE UPF0587 protein C1orf123 homolog OS=Mus musculus PE=1 SV=1;>tr|A2A8E4|A2A8E4_MOUSE RIKEN cDNA 0610037L13 gene (Fragment) OS=Mus musculus GN,,,,,,,,,,,,,,,,,,,,
1300002K09Rik,18,24.06562,18,24.18465,24.04043,24.21453,22.93783,24.33272,23.78586,23.88269,24.27767,24.44903,23.96693,24.21393,24.30264,24.19648,23.93625,18,23.95136,24.16469,24.18579,24.365,24.76167,24.90182,24.55631,24.24764,24.78492,24.53736,24.91274,24.7134,24.46357,25.00144,24.44702,24.74509,24.64757,24.53136,24.85776,18,24.99192,24.227,0,5.4074,5.2,3,84,0,2,0,1,2,1,1,1,1,2,2,1,2,2,2,2,3,1,2,3,2,3,1,3,3,3,3,1,3,2,2,3,3,3,3,2,2,0,2,1,0,1,0,2,1,1,0,1,0,1,1,1,2,2,1,3,3,1,3,1,3,3,2,3,3,4,3,2,4,4,2,4,4,4,4,1,3,0,4,2,Q9DBN1,Q9DBN1,,1300002K09Rik,,,,>sp|Q9DBN1|STR6L_MOUSE Stimulated by retinoic acid gene 6 protein-like OS=Mus musculus GN=Stra6l PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
1600014C10Rik,26.37119,25.94853,26.47956,25.37405,25.70197,26.1054,26.55913,26.2981,26.1255,25.47985,25.63616,26.09897,26.45232,25.4861,25.55039,25.52444,25.94864,26.54174,25.1997,25.74597,25.21382,25.02517,25.63796,25.09277,25.06431,24.58932,25.16454,25.63594,24.88208,25.06858,24.51815,25.37829,25.32903,25.65998,25.42342,25.23422,25.61955,26.06764,24.98971,25.85446,0,8.4382,20.6,3,168,2,2,2,1,2,2,3,3,3,2,2,2,3,1,2,3,3,2,2,1,1,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,1,3,2,2,7,5,7,4,4,3,8,7,10,5,2,6,7,2,4,5,6,6,2,5,1,1,3,3,4,3,2,4,5,3,3,2,3,2,3,1,4,8,4,4,Q8WUR0;J3QPY0;A0A0U1RNT4,Q8WUR0;J3QPY0;A0A0U1RNT4,Protein C19orf12 homolog,1600014C10Rik,,cell part;membrane,,>sp|Q8WUR0|CS012_MOUSE Protein C19orf12 homolog OS=Mus musculus PE=1 SV=1;>tr|J3QPY0|J3QPY0_MOUSE RIKEN cDNA 1600014C10 gene OS=Mus musculus GN=1600014C10Rik PE=1 SV=1;>tr|A0A0U1RNT4|A0A0U1RNT4_MOUSE RIKEN cDNA 1600014C10 gene OS=Mus musculus GN=1600014C10,,,,,,,,,,,,,,,,,,,,
2200002D01Rik,25.98973,25.84343,26.76459,25.41274,25.62803,26.63229,24.68544,26.56193,24.60326,25.69541,25.13876,26.03378,26.40194,25.45312,25.43231,25.09172,25.63312,26.13459,25.24612,25.5357,24.32759,23.3868,24.81563,24.53321,24.68148,24.01555,23.83875,25.16802,25.10262,24.62003,24.54616,24.85856,25.68,25.40626,24.71675,18,25.42374,18,24.97093,25.32656,0,10.477,39.5,4,60,4,3,2,3,3,1,2,2,2,1,2,2,3,2,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,0,1,1,2,2,3,3,2,1,3,1,3,3,3,1,1,2,3,4,1,1,1,3,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,0,1,1,2,1,Q9D809,Q9D809,,2200002D01Rik,,cell part;intracellular non-membrane-bounded organelle;intracellular organelle;nucleolus;organelle,,>tr|Q9D809|Q9D809_MOUSE MCG22941 OS=Mus musculus GN=2200002D01Rik PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
2210010C04Rik,27.68365,26.70925,27.80796,27.75156,26.77605,26.73234,27.26141,28.2102,27.46186,28.68565,26.86207,26.88425,27.48823,27.04364,26.71476,27.104,26.55384,26.82116,27.44561,26.8136,27.55494,26.37024,27.23169,26.91148,26.49981,26.93966,26.6656,27.07674,26.91216,26.21249,26.78681,26.93067,27.51893,27.02929,27.80753,27.09436,26.71895,27.12129,27.2203,27.81824,0,4.0545,4.9,1,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,3,3,3,3,4,4,4,3,3,4,3,3,3,2,3,3,3,4,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,3,Q9CPN9,Q9CPN9,,2210010C04Rik,macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;proteolysis,,Neuroactive ligand-receptor interaction;Pancreatic secretion;Protein digestion and absorption,>tr|Q9CPN9|Q9CPN9_MOUSE RIKEN cDNA 2210010C04 gene OS=Mus musculus GN=2210010C04Rik PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
2210016F16Rik,28.15079,18,27.26705,18,26.2527,26.04922,26.69378,27.46318,18,18,25.84589,26.15522,27.20713,26.11044,26.88332,25.9136,18,26.66058,26.00033,26.89308,25.55859,18,27.04416,18,26.07398,25.25746,26.30368,26.51104,26.33674,26.52822,18,26.37953,27.56725,18,26.71148,26.16461,27.08162,26.65895,26.95947,26.80907,0,7.4462,26.3,8,48,4,0,2,0,1,1,1,1,1,0,2,1,2,2,2,1,0,5,1,2,1,0,3,0,3,1,1,3,2,2,1,2,4,0,3,1,3,2,3,3,4,0,1,0,1,0,1,1,1,0,2,0,1,2,1,0,0,3,0,2,0,0,2,0,0,0,1,2,2,2,1,3,6,0,3,0,3,1,1,1,G3X8U3,G3X8U3,,2210016F16Rik,,,,>tr|G3X8U3|G3X8U3_MOUSE MCG6895 OS=Mus musculus GN=2210016F16Rik PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
2310061I04Rik,24.06702,23.96217,22.98631,23.73614,18,23.68303,23.88082,23.75786,24.18208,24.00402,23.19776,18,23.46613,23.34299,23.735,23.96526,23.76274,18,24.22236,18,23.91351,24.92248,24.62372,24.00667,23.08167,23.71754,24.77128,24.32492,24.57882,23.60896,23.58417,23.73314,24.19077,24.07529,23.92452,24.47339,24.2932,18,24.47358,23.92461,0,5.5498,10.8,2,79,1,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,0,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,3,1,2,2,2,2,2,3,1,2,3,2,2,3,0,1,1,3,1,3,2,1,3,2,2,1,1,3,3,2,2,3,2,2,2,3,2,F6X1P1;B8JJ66;B8JJ69;F6W3U3;B8JJ67,F6X1P1;B8JJ66;B8JJ69;F6W3U3;B8JJ67,,2310061I04Rik,,cell part;intracellular membrane-bounded organelle;intracellular organelle;mitochondrion;organelle,,">tr|F6X1P1|F6X1P1_MOUSE RIKEN cDNA 2310061I04 gene (Fragment) OS=Mus musculus GN=2310061I04Rik PE=1 SV=1;>tr|B8JJ66|B8JJ66_MOUSE MCG141136, isoform CRA_a OS=Mus musculus GN=2310061I04Rik PE=1 SV=1;>tr|B8JJ69|B8JJ69_MOUSE RIKEN cDNA 2310061I04 gene OS=Mus m",,,,,,,,,,,,,,,,,,,,
2810007J24Rik,32.05171,32.32509,32.35532,31.5251,31.94192,31.85486,32.52423,32.26911,32.10531,32.10574,31.90225,32.17361,32.44053,31.78846,32.07233,31.77235,32.00072,32.33615,32.02377,32.30704,30.79715,30.87306,31.37462,31.15448,31.78609,30.36024,31.05575,30.78768,30.94747,31.09974,30.44766,30.98203,30.8047,30.26506,30.85616,30.22066,30.8077,30.72891,30.23329,30.61973,0,323.31,74.8,24,2021,23,24,22,18,19,23,21,21,18,22,23,21,21,20,23,22,22,24,22,22,16,13,21,13,21,12,17,16,16,17,12,17,19,15,16,12,18,12,12,13,79,73,70,53,67,65,69,73,51,72,60,78,82,59,61,60,63,84,63,80,37,27,48,34,57,21,42,36,28,34,21,40,41,26,34,16,42,27,20,28,Q8BGL3;E9QAK1;B1PQU4;A0A1B0GSR1;Q3UEP5;D3Z6M7;L7N245;K7N6K9;P50236,Q8BGL3;E9QAK1,Sulfotransferase,2810007J24Rik,,,,>tr|Q8BGL3|Q8BGL3_MOUSE Sulfotransferase OS=Mus musculus GN=Sult2a8 PE=1 SV=1;>tr|E9QAK1|E9QAK1_MOUSE Sulfotransferase (Fragment) OS=Mus musculus GN=Sult2a8 PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
